"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"1",16,1051,"A","1",1,1,1,0,6.8,NA,25,155,146,10,3,2,NA,311,1,2,"X","IFN3","16_1051","16_1051_1","IFN3_16_1051_1","16_1051_A_1",15.05,31.8309886183791,177.894647504931
"2",16,1051,"A","1",2,0,2,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_2","IFN3_16_1051_2","16_1051_A_1",0,0,0
"3",16,1051,"A","1",3,0,3,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_3","IFN3_16_1051_3","16_1051_A_1",0,0,0
"4",16,1051,"A","1",4,0,4,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_4","IFN3_16_1051_4","16_1051_A_1",0,0,0
"5",16,1051,"A","1",5,0,5,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_5","IFN3_16_1051_5","16_1051_A_1",0,0,0
"6",16,1051,"A","1",6,0,6,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_6","IFN3_16_1051_6","16_1051_A_1",0,0,0
"7",16,1051,"A","1",7,2,7,40,9.8,NA,25,178,175,17.5,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_7","IFN3_16_1051_7","16_1051_A_1",17.65,31.8309886183791,244.669199356982
"8",16,1051,"A","1",8,0,8,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"X","IFN3","16_1051","16_1051_8","IFN3_16_1051_8","16_1051_A_1",0,0,0
"9",16,1051,"A","1",9,3,9,49,6.3,NA,25,148,151,9,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_9","IFN3_16_1051_9","16_1051_A_1",14.95,31.8309886183791,175.538453014738
"10",16,1051,"A","1",10,4,10,53,13.6,NA,25,245,252,18,2,2,NA,100,NA,NA,"X","IFN3","16_1051","16_1051_10","IFN3_16_1051_10","16_1051_A_1",24.85,14.1471060526129,485.001037356601
