"","X","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"34",34,40,1022,1,3,NA,21,216,213,11.5,2,2,NA,"IFN2","40_1022","40_1022_1","IFN2_40_1022_1",21.45,31.8309886183791,361.363658474574
"35",35,40,1022,10,99,NA,21,225,226,11,2,2,NA,"IFN2","40_1022","40_1022_10","IFN2_40_1022_10",22.55,14.1471060526129,399.376929583011
"36",36,40,1022,11,108,NA,21,201,201,10,2,2,NA,"IFN2","40_1022","40_1022_11","IFN2_40_1022_11",20.1,31.8309886183791,317.308711994203
"37",37,40,1022,12,135,NA,21,235,229,10.5,2,2,NA,"IFN2","40_1022","40_1022_12","IFN2_40_1022_12",23.2,14.1471060526129,422.732707467043
"38",38,40,1022,13,136,NA,21,236,227,10,2,2,NA,"IFN2","40_1022","40_1022_13","IFN2_40_1022_13",23.15,14.1471060526129,420.912547223369
"39",39,40,1022,14,156,NA,21,165,162,9.5,2,2,NA,"IFN2","40_1022","40_1022_14","IFN2_40_1022_14",16.35,31.8309886183791,209.954600534814
"40",40,40,1022,15,164,NA,21,143,136,9,2,2,NA,"IFN2","40_1022","40_1022_15","IFN2_40_1022_15",13.95,31.8309886183791,152.840446092552
"41",41,40,1022,16,183,NA,21,303,312,13,2,2,NA,"IFN2","40_1022","40_1022_16","IFN2_40_1022_16",30.75,14.1471060526129,742.6430508775
"42",42,40,1022,17,201,NA,21,283,286,11.5,2,2,NA,"IFN2","40_1022","40_1022_17","IFN2_40_1022_17",28.45,14.1471060526129,635.703236949303
"43",43,40,1022,18,220,NA,21,285,289,12,2,2,1,"IFN2","40_1022","40_1022_18","IFN2_40_1022_18",28.7,14.1471060526129,646.924613208844
"44",44,40,1022,19,225,NA,21,275,273,12,2,2,NA,"IFN2","40_1022","40_1022_19","IFN2_40_1022_19",27.4,14.1471060526129,589.645525152268
"45",45,40,1022,2,4,NA,21,246,254,11.5,2,2,NA,"IFN2","40_1022","40_1022_2","IFN2_40_1022_2",25,14.1471060526129,490.873852123405
"46",46,40,1022,20,238,NA,21,94,95,9,3,3,NA,"IFN2","40_1022","40_1022_20","IFN2_40_1022_20",9.45,127.323954473516,70.1380194868006
"47",47,40,1022,21,248,NA,21,332,320,12,2,2,NA,"IFN2","40_1022","40_1022_21","IFN2_40_1022_21",32.6,14.1471060526129,834.689752132272
"48",48,40,1022,22,249,NA,21,227,220,10.5,2,2,NA,"IFN2","40_1022","40_1022_22","IFN2_40_1022_22",22.35,31.8309886183791,392.324054075702
"49",49,40,1022,23,251,NA,21,201,210,10.5,2,2,NA,"IFN2","40_1022","40_1022_23","IFN2_40_1022_23",20.55,31.8309886183791,331.675607898151
"50",50,40,1022,24,251,NA,21,233,236,10.5,2,2,NA,"IFN2","40_1022","40_1022_24","IFN2_40_1022_24",23.45,14.1471060526129,431.892413547665
"51",51,40,1022,25,259,NA,21,161,165,10,2,2,NA,"IFN2","40_1022","40_1022_25","IFN2_40_1022_25",16.3,31.8309886183791,208.672438033068
"52",52,40,1022,26,272,NA,21,249,252,10.5,2,2,NA,"IFN2","40_1022","40_1022_26","IFN2_40_1022_26",25.05,14.1471060526129,492.839311027307
