"","X.5","X.4","X.3","X.2","PLOT_ID","X.1","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Ano_IFN2","EXEC_TIME","AA_RAINFALL","AM_TEMPERATURE","MARTONNE"
"1",1,1,1,3220,"16_2992",25169,24,7885.44,5.09295817894065,26,24,NA,14428.1111111111,7885.44,NA,45.978094670992,5.09295817894065,NA,1135.07890702534,394.562787807374,2.23135511111111,51.0710528499326,0,0,0,31.8309886183791,14.1471060526129,0,0,0,5.09295817894065,22.2254847645429,7.72576177285319,23.5858753919701,7.72576177285319,2827,16,2992,NA,930331,13,3,3,3,2,"S",930405,12,692,1,"0692J12",625,4391,92,126,1,1,0,0,8,8,4,4,9,1,70,10,24,0,7,4,2,NA,26,NA,3,NA,3,NA,NA,NA,NA,NA,NA,24,1,2,10,26,3,1,NA,NA,NA,NA,NA,24,26,37,68,NA,NA,NA,2,1,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,9,NA,NA,"01",380,NA,4.5,NA,"IFN2",10,126,26,19930331,1993,10,397.3,13,17.2739130434783
"2",2,2,2,4641,"19_1047",36299,26,175102.798611111,1015.05485927498,26,NA,NA,175102.798611111,NA,NA,1015.05485927498,NA,NA,14697.2516392339,6207.04278058392,17.5102798611111,1015.05485927498,0,254.647908947033,604.788783749202,127.323954473516,28.2942121052258,0,0,0,0,14.4792682926829,6.11498257839721,14.8202949064782,6.55714285714286,884,19,1047,NA,930323,3,27,4,3,2,"S",930406,2,490,2,"0490M80",597,4523,92,190,5,5,0,0,11,11,3,3,9,1,50,70,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,43,44,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,1,NA,3,NA,3,0,NA,NA,"01",328,NA,3.25,NA,"IFN2",25,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"3",3,3,3,4644,"19_1051",36307,26,115977.923611111,537.590029999291,26,NA,NA,115977.923611111,NA,NA,537.590029999291,NA,NA,8790.83486226801,3181.33047358133,11.5977923611111,537.590029999291,0,0,413.802852038928,95.4929658551372,28.2942121052258,0,0,0,0,16.3523026315789,5.91776315789474,16.57361022593,6.54285714285714,887,19,1051,NA,930323,3,18,4,3,2,"S",930407,2,490,2,"0490M81",599,4522,92,190,7,7,0,0,11,11,3,3,9,1,50,70,26,0,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,44,45,37,NA,NA,NA,1,1,"W",20,NA,NA,NA,1,1,1,NA,3,NA,3,0,NA,NA,"01",285,NA,3.75,NA,"IFN2",20,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"4",4,4,4,4645,"19_1052",36308,26,256715.013888889,1810.82957473445,26,NA,NA,256715.013888889,NA,NA,1810.82957473445,NA,NA,23345.5544080218,10076.2762859736,25.6715013888889,1810.82957473445,0,891.267681314614,732.112738222719,159.154943091895,28.2942121052258,0,0,0,0,12.8921875,5.564453125,13.4351309684954,7.47142857142857,888,19,1052,NA,930323,3,37,4,4,3,"S",930407,2,490,2,"0490M81",599,4524,92,190,5,5,0,0,12,12,3,4,9,1,50,80,26,0,7,3,3,NA,44,NA,2,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,25,44,3,6,NA,NA,NA,NA,NA,26,44,43,45,NA,NA,NA,1,1,"W",20,NA,NA,NA,5,1,2,NA,3,NA,0,0,NA,NA,"01",372,NA,6,NA,"IFN2",25,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"5",5,5,5,4648,"19_1062",36321,26,112803.4375,1018.59163578813,26,NA,NA,112803.4375,NA,NA,1018.59163578813,NA,NA,11674.0150757905,5223.465232276,11.28034375,1018.59163578813,0,636.619772367581,350.14087480217,31.8309886183791,0,0,0,0,0,11.4609375,5.128125,11.8745230167363,6.75,893,19,1062,NA,930323,3,17,4,2,3,"S",930407,2,490,2,"0490M82",602,4524,92,190,3,3,0,0,12,12,3,3,9,1,50,80,26,6,7,3,3,21,43,4,3,3,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"01",159,NA,2.75,NA,"IFN2",20,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"6",6,6,6,4650,"19_1064",36323,26,211611.736111111,1015.05485927498,26,NA,NA,211611.736111111,NA,NA,1015.05485927498,NA,NA,16124.1641234656,7084.16335584592,21.1611736111111,1015.05485927498,0,127.323954473516,477.464829275686,381.971863420549,28.2942121052258,0,0,0,0,15.8850174216028,6.97909407665505,16.2922166706011,7.6,895,19,1064,NA,930323,3,30,4,2,1,"S",930407,2,490,2,"0490M83",603,4524,92,190,3,3,0,0,12,12,3,2,9,1,0,80,26,0,9,1,3,NA,43,NA,1,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,25,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,3,NA,0,0,NA,NA,"01",265,NA,1,NA,"IFN2",25,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"7",7,7,7,4652,"19_1065",36324,26,52644.625,477.464829275686,26,43,NA,52644.625,18740.5,NA,477.464829275686,286.478897565412,NA,8113.71899882482,4313.09895779036,7.1385125,763.943726841098,0,509.295817894065,254.647908947033,0,0,0,0,0,0,10.6208333333333,5.64583333333333,10.9075757312674,6.75,896,19,1065,NA,930323,3,12,4,2,4,"S",930407,2,490,1,"0490L78",603,4526,92,190,2,2,0,0,12,12,4,5,9,1,50,80,26,6,6,3,3,21,43,4,4,3,3,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"M802",183,NA,7.5,NA,"IFN2",20,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"8",8,8,8,4656,"19_1067",36327,26,201494.875,1432.39448782706,26,NA,NA,201494.875,NA,NA,1432.39448782706,NA,NA,18668.8748246793,7623.52177410179,20.1494875,1432.39448782706,0,763.943726841098,572.957795130823,95.4929658551372,0,0,0,0,0,13.0333333333333,5.32222222222222,13.3830697358848,6.5,898,19,1067,NA,930323,3,27,4,2,4,"S",930407,2,490,2,"0490M83",604,4525,92,190,3,3,0,0,13,13,3,5,9,1,0,70,26,0,8,1,3,NA,43,NA,2,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,25,43,3,6,NA,NA,NA,NA,NA,26,43,15,NA,NA,NA,NA,1,2,"W",20,NA,NA,NA,4,1,2,NA,1,NA,0,0,NA,NA,"01",100,NA,7.25,NA,"IFN2",25,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"9",9,9,9,4658,"19_1074",36335,26,70442.1875,477.464829275686,26,NA,NA,70442.1875,NA,NA,477.464829275686,NA,NA,6339.14138335019,2005.35228295788,7.04421875,477.464829275686,0,127.323954473516,318.309886183791,31.8309886183791,0,0,0,0,0,13.2766666666667,4.2,13.7056861679134,4.75,902,19,1074,NA,930323,3,12,4,1,5,"S",930407,2,490,2,"0490M84",607,4524,92,190,3,3,0,0,12,13,3,4,9,1,0,80,26,0,6,1,3,NA,43,NA,4,NA,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,1,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"01",72,NA,4.5,NA,"IFN2",20,190,26,19930323,1993,10,284.7,13.8,11.9621848739496
"10",10,10,10,4773,"19_2185",38225,26,30934.25,509.295817894065,26,NA,NA,30934.25,NA,NA,509.295817894065,NA,NA,4475.4369997441,1973.5212943395,3.093425,509.295817894065,0,509.295817894065,0,0,0,0,0,0,0,8.7875,3.875,8.79406760265123,4,2100,19,2185,NA,940728,1,4,4,1,1,"S",940729,1,459,2,"0459323",470,4545,94,60,0,0,0,0,13,13,5,5,1,1,25,25,26,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,1,1,"W",15,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",334,NA,8,NA,"IFN2",11,60,26,19940728,1994,9,284.7,13.8,11.9621848739496
