"","PLOT_ID","X.1","X","specie.x","IFN3_ID","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","Estadillo","Clase","Subclase","PosEsp","Ocupa","Estado_pcespparc","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID.x","Provincia","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado_pcparcelas","Tecnico","MASTER_CLASE","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN3","Año_IFN3","EXEC_TIME","G_sp.x","N_sp.x","sp_1.x","sp_2.x","sp_3.x","G_sp_1.x","G_sp_2.x","G_sp_3.x","N_sp_1.x","N_sp_2.x","N_sp_3.x","IFN3_specie","specie.y","G_sp.y","N_sp.y","sp_1.y","sp_2.y","sp_3.y","G_sp_1.y","G_sp_2.y","G_sp_3.y","N_sp_1.y","N_sp_2.y","N_sp_3.y","PLOT_TYPE"
"1","40_1022",17597,134326,21,"40_1022_A_3C",17339.52986829,9722.59863465823,32.936099801393,802.848268485783,0,127.323954473516,95.4929658551372,254.647908947033,127.323954473516,141.471060526129,28.2942121052258,28.2942121052258,0,21.5975179232725,12.1101321585903,22.8546411566873,14.4375,1022,"A","3C",1,9,4,1,35,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","40_1022",40,NA,NA,0,1984,"M","0012",2002,"","4-4 ",2004,NA,1,1,2,90,90,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,140,NA,8.5,NA,1,"2",3,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. EL MARCO DE PLANTACION DEL PINO ES DE 3X6. [PIES MAYORES] N.2, 17, 19 Y 27 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE ENEBRO EN CATEGORIA 3 Y 2.",4,990,"03/08/04 10:11:03","","03/08/04 11:55:40","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",37,191,21,"4-03-08",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1022_A_3C_",21,329360.99801393,802.848268485783,21,NA,NA,329360.99801393,NA,NA,802.848268485783,NA,NA,"IFN"
"2","40_1033",17601,134353,21,"40_1033_A_3C",13905.5836778855,7675.0997649186,22.4310740842639,700.281749604339,0,0,222.816920328653,350.14087480217,99.0297423682904,28.2942121052258,0,0,0,19.8571270574197,10.9600168350168,20.1949922164625,11.46875,1033,"A","3C",1,8,4,1,35,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","40_1033",40,NA,NA,0,1984,"M","0012",2002,"","4-4 ",2004,NA,1,1,1,95,90,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,260,NA,9.2,NA,1,"1",1,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS. SUBPISO DE ENEBRO.
40,EL MARCO DE PLANTACION ES DE 2X5. PIE RUMBO 240 SE VA DE 15 METROS.
40,[PIES MAYORES] 25-FORMA CORREGIDA. PIES N.1, 6, 26, 29 Y 30 ENTRAN POR CORRECCION DE PENDIENTE. HAY REGENERACION DE JUNIPERUS COMMUNIS EN LA PARCELA. ORIENTACION: 260. PENDIENTE: 9, 25.",4,990,"01/16/04 00:00:00","","01/16/04 01:33:28","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",37,191,21,"4-01-16",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1033_A_3C_",21,224310.740842639,700.281749604339,21,NA,NA,224310.740842639,NA,NA,700.281749604339,NA,NA,"IFN"
"3","40_1062",17605,134394,21,"40_1062_A_3C",11706.0539116268,5806.50284046931,16.6683120891196,679.06109052542,0,127.323954473516,127.323954473516,381.971863420549,42.4413181578388,0,0,0,0,17.2385873302935,8.55078125,17.6785421251582,9.725,1062,"A","3C",1,9,4,1,40,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","40_1062",40,NA,NA,0,1984,"J","0004",2002,"","1-1 ",2004,NA,1,1,2,90,80,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,55,NA,2,NA,2,"2",2,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS.NO SE LE DA OCUPACION AL RESTO DE ESPECIES POR SER MUY ESCASAS.HAY BASTANTE PINO LARICIO EN LOS ALREDEDORES DE LA PARCELA,PERO FUERA DE 25 MESTROS.[PIESMAY 027-021]MEDIDO A 1,20 POR BIFURCACION.
40,HAY REGENERACION DE ENEBRO Y REBOLLO.ORIENTACION:55.PENDIENTE:2.
40,[PIES MAYORES]",4,990,"01/23/04 18:32:43","","01/23/04 19:18:57","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",40,195,21,"4-01-23",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1062_A_3C_",21,166683.120891196,679.06109052542,21,NA,NA,166683.120891196,NA,NA,679.06109052542,NA,NA,"IFN"
"4","40_1089",17615,134446,21,"40_1089_A_3C",6010.0184142201,2840.32627143814,10.5035044075308,275.868568025952,0,0,31.8309886183791,159.154943091895,70.7355302630646,14.1471060526129,0,0,0,21.7858034977537,10.2959401709402,22.0176548819674,10.5858585858586,1089,"A","3C",1,8,4,1,45,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","40_1089",40,NA,NA,0,1984,"K","0010",2002,"","2-3 ",2004,NA,1,1,2,85,70,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,135,NA,2.5,NA,2,"2",2,"PARCELA A3C LOCALIZADA POR FOTOS AEREAS Y PIES IFN2.
40,NO ENTRA REGENERACION EN 5 METROS.",4,990,"02/09/04 18:43:14","","02/09/04 19:30:04","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",44,116,21,"4-02-09",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1089_A_3C_",21,93160.5363067071,244.037579407573,21,25,NA,93160.5363067071,11874.5077686012,NA,244.037579407573,31.8309886183791,NA,"IFN"
"6","40_1141",17625,134531,21,"40_1141_A_3C",15516.0808019863,9046.19012651767,29.9198695712848,650.766878420194,0,0,0,381.971863420549,113.176848420903,141.471060526129,14.1471060526129,0,0,23.8427635402301,13.9008152173913,24.1948083786927,14.5104166666667,1141,"A","3C",1,10,4,1,30,5,3,NA,NA,NA,NA,2,"1",1,"IFN3","40_1141",40,NA,NA,0,1984,"M","0001",2002,"","3-3 ",2004,NA,1,1,2,80,70,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,350,NA,2,NA,2,"2",2,"PARCELA LOCALIZADA POR PIES IFN2 Y FOTOS AEREAS.EL MARCO DE PLANTACION DEL PINO ES DE 1,5X5.EN LA PARCELA HAY ALGUN TOCON ANTIGUO.PERO EN LOS ALREDEDORES SE ESTA ENTRESACANDO EL 50% DE LA MASA.HAY REGENERACION DE ENEBRO EN 5 METROS.",4,990,"03/10/04 09:56:30","","03/10/04 11:38:15","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",31,54,21,"4-03-10",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1141_A_3C_",21,299198.695712848,650.766878420194,21,NA,NA,299198.695712848,NA,NA,650.766878420194,NA,NA,"IFN"
"7","40_1145",17628,134537,21,"40_1145_A_3C",5585.48497759882,2564.75243478828,12.5840003334985,205.133037762887,0,0,0,63.6619772367581,42.4413181578388,42.4413181578388,56.5884242104517,0,0,27.2285977846975,12.5028735632184,27.9477348414656,12.4791666666667,1145,"A","3C",1,10,4,1,40,5,3,NA,NA,NA,NA,3,"5",1,"IFN3","40_1145",40,NA,NA,0,1984,"M","0001",2002,"","3-3 ",2004,NA,1,1,2,70,40,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,355,NA,4.5,NA,1,"2",2,"[CLAESP. RESTO DE ESPECIES=10%]PARCELA PINCHADA A3C POR TOCAR DOS TESELAS .EL MARCO DE PLANTACION DEL PINO NO SE APRECIA BIEN POR LAS CORTAS REALIZADAS.EXISTE REGENERACION DE LAS CAT 1 Y 2.EN EL LEVANTAMIENTO DE LA PARCELA HAN ESTADO PRESENTES JOSE ANTONIO VILLANUEVA,JULIO MARTIN Y ROBERTO BODES.",4,990,"02/18/04 18:00:59","","02/18/04 18:44:39","",NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",40,54,21,"4-02-18",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1145_A_3C_",21,125840.003334985,205.133037762887,21,NA,NA,125840.003334985,NA,NA,205.133037762887,NA,NA,"IFN"
"8","40_1396",17630,134913,37,"40_1396_A_3C",557.111509182297,101.434750397235,2.39616948337186,10.1859163578813,0,0,0,0,0,0,0,0,10.1859163578813,54.6942945149196,9.95833333333333,54.7285287050075,9.95833333333333,1396,"A","3C",2,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","40_1396",40,NA,NA,2,1985,"L","0005",2002,"","3-2 ",2004,NA,1,2,1,90,10,3,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,300,NA,3,NA,1,"1",1,"PARCELA NO VALIDA PARA LA COMPARACION DE INVENTARIOS POR TENER NUMEROSOS ERRORES EN LAS MEDICIONES. HA ESTADO PRESENTE JOSE ANTONIO VILLANUEVA  JULIO MARTIN Y ROBERTO BODES.",14,990,"02/17/04 22:36:15","","02/17/04 11:10:34","",NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",30,93,21,"4-02-17",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1396_A_3C_",21,23961.6948337186,10.1859163578813,21,NA,NA,23961.6948337186,NA,NA,10.1859163578813,NA,NA,"IFN"
"9","40_1808",17632,135471,21,"40_1808_A_3C",15759.0978092742,7517.41847870719,18.9943506695174,1114.08460164327,0,636.619772367581,63.6619772367581,413.802852038928,0,0,0,0,0,14.1453331156625,6.74761904761905,14.733577072996,10.1875,1808,"A","3C",1,10,4,2,20,5,3,NA,NA,NA,NA,3,"5",1,"IFN3","40_1808",40,NA,NA,0,1984,"J","0004",2002,"","1-1 ",2004,NA,1,1,1,100,85,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,315,NA,9.5,NA,3,"2",3,"NO HAY NADA EN REGENERACION.EN MATORRAL HAY CITYSUS.
40,PIES 11,16 Y 38 ENTRAN POR PENDIENTE. PIES 5 FORMA CORRECTA Y 28 ALTURAS COMPROBADAS.
40,PIE 28 FORMA DISTINTA.PARCELA A3C DE GABINETE POR ESTAR EL PINCHAZO DEL IFN2 EN UNA TESELA DISTINTA AL CRUCE DE COORDENADAS.",2,990,"02/10/04 09:53:03","","02/10/04 11:14:15","",NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",37,113,21,"4-02-10",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40_1808_A_3C_",21,189943.506695174,1114.08460164327,21,NA,NA,189943.506695174,NA,NA,1114.08460164327,NA,NA,"IFN"
"10","42_1194",17879,139587,21,"42_1194_A_3C",21294.234313463,14556.4879340104,21.7105929365923,1778.99858611607,0,1400.56349920868,127.323954473516,222.816920328653,28.2942121052258,0,0,0,0,11.9697870923848,8.1824055666004,12.4653104795411,10.6642857142857,1194,"A","3C",1,7,4,4,NA,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","42_1194",42,NA,NA,0,1984,"J","0011",2000,"","2-2 ",2004,NA,1,1,1,100,80,1,2,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,170,NA,0.5,NA,2,"1",2,"[IDENTIFICACION Y CLASIFICACION] PARCELA ENCONTRADA CON FOTO AEREA, CROQUIS Y PIES MAYORES. PARCELA DESPLAZADA EN IFN2 HACIA OTRA TESELA QUE NO ERA LA SUYA.[PIESMAY 018-043]P. E. COMPROBADO.
42,[PIESMAY 025-043] FORMA COMPROBADA.
42,[PIESMAY 038-043] ALTURA COMPROBADA.",7,990,"02/13/04 12:32:57","","02/13/04 13:53:36","",NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",34,173,21,"4-02-13",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42_1194_A_3C_",21,135718.908207003,760.406950327944,21,43,NA,135718.908207003,81387.02115892,NA,760.406950327944,1018.59163578813,NA,"IFN"
"12","42_124",17889,139691,21,"42_124_A_3C",4262.62504218487,2204.29596182275,6.45126079616435,222.816920328653,0,0,31.8309886183791,190.985931710274,0,0,0,0,0,19.1306164536227,9.89285714285714,19.2000904702695,10.0416666666667,124,"A","3C",1,10,4,1,25,7,4,NA,NA,NA,NA,2,"1",1,"IFN3","42_124",42,NA,NA,0,1985,"K","0011",2000,"","2-3 ",2004,NA,1,1,2,100,55,1,1,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,272,NA,5.5,NA,2,"3",2,"REJON ENCONTRADO POR PIES DEL IFN2.
42,[CLAESP. RESTO DE ESPECIES=0%] LA EDAD DE LA MASA DE PINOS HA SIDO ESTIMADA CON LOS DATOS DEL IFN2.EL MARCO DE PLANTACION ES A TRESBOLILLO.
42,[PIES MAYORES] ARBOL N 28 ESPECIE CORRECTA. SE HAN REALIZADO PODAS PARA LAS MEDICIONES.TODAS LAS FORMAS CORRECTAS.",8,990,"01/15/04 10:35:56","","01/15/04 11:45:13","",NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",99,"A3C",24,209,21,"4-01-15",2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42_124_A_3C_",21,64512.6079616435,222.816920328653,21,NA,NA,64512.6079616435,NA,NA,222.816920328653,NA,NA,"IFN"
