"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,"40_1022","Nodo 3 - Pies inventariados","IFN2",10,35,1042.02,12.37,110.07,46.51,0.01,4.53,23.84,33.55,888.83,13.2,3.72,3.83,1.2,50.46,39.33,958.78,23.48,25.23,11.87,247.59,231.73,15.85,0.04,23.6,0,0,0,20.18,132.68,99.88,56.92,231.33,110.1,0,20.64,34.05,76.98,241.78,0.04,18.61,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,"40_1033","Nodo 3 - Pies inventariados","IFN2",10,35,1214.22,10.25,159.9,40.15,0,5.66,20.52,27.29,587.66,10.25,3.53,3.6,1.24,41.62,37.57,859.35,27.99,30.08,8.71,156.74,145.12,11.62,0.02,22.05,0,0,0,0,63.76,4.67,55.65,142.55,68.95,0,21.19,42.13,66.46,198.73,0.02,22.33,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,"40_1062","Nodo 3 - Pies inventariados","IFN2",10,38,1153.37,8.07,142.85,29.13,0,4.12,17.93,24.41,468.11,8.25,3.32,3.38,1.04,36.14,33.81,644.79,35.68,38.34,6.87,86.55,79.46,7.09,0.02,12.88,0,0,0,0,14.56,0,44.08,75.87,37.75,0,17.79,40.76,48.21,144.52,0.02,16.07,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"40_1089","Nodo 3 - Pies inventariados","IFN2",10,42,451.13,1.92,120.59,18.76,0,4.84,23.01,26.08,536,8.15,4.27,4.3,0.66,36.65,31.26,390.18,57.75,62.06,7.79,69.41,65.12,4.29,0.02,17.63,0,0,0,0,36.04,0,17.65,63.04,30.94,0,10.81,20.43,31.05,93.23,0.02,18.96,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"40_1141","Nodo 3 - Pies inventariados","IFN2",10,29,925.01,5.82,103.23,41.11,0,4.48,23.79,29.13,667.37,11.36,3.91,3.96,1.14,46.88,39.02,847.93,28.93,31.09,10.19,201.46,187.69,13.77,0.02,21.27,0,0,0,0,118.27,46.94,47.56,187.21,89.18,0,19.05,32.87,68.04,209.14,0.02,18.1,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"40_1145","Nodo 3 - Pies inventariados","IFN2",10,38,517.47,3.02,74.86,28.67,0,3.56,26.56,33.65,892.84,10.96,4.5,4.58,0.85,41.77,32.58,575.35,40.1,43.09,9.81,136.17,129.43,6.74,0.03,16.62,0,0,0,12.23,80.02,36.58,21.83,126.45,61.5,0,14.81,23.86,47.46,147.63,0.03,14.58,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,"40_1396","Nodo 3 - Pies inventariados","IFN2",10,28,29.31,0.12,0,4.02,0,0,41.79,40.55,1371.9,8.82,8.1,8.33,0.16,21.76,21.76,72.03,209.39,225.01,8.12,14.88,15.37,-0.49,0.01,0,0,0,0,8.64,2.14,0,0.32,13.7,7.3,1.07,3.47,4.53,6.65,23.03,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,"40_1808","Nodo 3 - Pies inventariados","IFN2",10,35,2524.58,26.04,131.46,45.23,0.01,2.32,15.1,20.45,328.96,7.87,2.71,2.76,1.51,44.27,38.47,1045.09,25.3,27.19,7,141.22,125.86,15.36,0.02,7.15,0,0,0,0,6.35,0,95.42,122.45,59.8,0,23.67,59.23,74.86,217.57,0.04,8.22,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,"42_1194","Nodo 3 - Pies inventariados","IFN2",10,32,1158.27,8.61,180.11,25.62,0,4.61,16.78,23.48,433.17,9.19,3.07,3.13,0.89,43.58,39.14,576.61,31.97,34.35,7.87,87.92,79.57,8.34,0.02,16.85,0,0,0,0,14.84,0,48.39,78,37.81,0,13.27,30.41,42.41,123.9,0.02,17.1,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"42_124","Nodo 3 - Pies inventariados","IFN2",10,22,270.23,1.12,80.36,6.99,0,1.77,18.15,18.82,278.21,6.53,3.69,3.69,0.29,34.91,34.72,154.32,93.09,100.03,5.87,20.02,18.3,1.71,0.01,5.01,0,0,0,0,0,0,12.67,17.69,8.7,0,4.3,10,11.57,34.57,0.01,6.35,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
