"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,"40_1022","Nodo 3 - Pies inventariados","IFN2",10,35,1042.04,12.37,110.09,46.49,0.01,4.53,23.83,33.54,888.61,15.48,3.55,3.66,1.1,60.33,46.14,958.51,20.02,21.51,11.87,296.66,275.41,21.25,0.04,27.07,0,0,0,23.73,165.68,135.7,67.66,279.12,130.86,0,17.65,27.8,76.95,253.27,0.04,18.79,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,"40_1033","Nodo 3 - Pies inventariados","IFN2",10,35,1214.25,10.25,159.93,40.13,0,5.66,20.51,27.29,587.49,12.53,3.35,3.42,1.12,52.99,45.93,859.01,22.9,24.61,8.71,199.63,182.83,16.79,0.02,26.43,0,0,0,0,92.46,39.38,73.61,184.77,86.87,0,17.09,31.78,66.43,202.17,0.02,22.36,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,"40_1062","Nodo 3 - Pies inventariados","IFN2",10,38,1153.41,8.07,142.89,29.11,0,4.12,17.93,24.41,467.98,10.53,3.16,3.22,0.94,49.1,43.16,644.53,27.95,30.04,6.87,117.99,106.82,11.17,0.02,16.68,0,0,0,0,32.45,0,62.51,106.83,50.76,0,13.55,28.64,48.19,141.14,0.02,15.88,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"40_1089","Nodo 3 - Pies inventariados","IFN2",10,42,451.14,1.92,120.61,18.76,0,4.84,23.01,26.08,535.85,10.43,4.09,4.12,0.6,46.63,40.01,390.1,45.13,48.49,7.79,89.17,82.76,6.41,0.02,21.33,0,0,0,0,49.77,15.07,24.06,82.54,39.32,0,8.7,15.46,31.04,94.52,0.02,18.96,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"40_1141","Nodo 3 - Pies inventariados","IFN2",10,29,925.03,5.82,103.24,41.1,0,4.48,23.78,29.12,667.18,13.65,3.74,3.78,1.04,56.55,46.85,847.7,24.1,25.89,10.19,244.97,226.31,18.66,0.02,24.72,0,0,0,2.71,148.24,110.99,58.8,229.95,107.53,0,16.07,26.44,68.02,218.06,0.02,18.25,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"40_1145","Nodo 3 - Pies inventariados","IFN2",10,38,517.48,3.02,74.87,28.67,0,3.56,26.56,33.65,892.63,13.24,4.3,4.38,0.78,50.51,39.36,575.22,33.2,35.67,9.81,165.93,156.38,9.56,0.03,19.3,0,0,0,22.5,96.98,87.5,27.1,156.56,74.3,0,12.47,19.14,47.45,153.36,0.04,14.69,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,"40_1396","Nodo 3 - Pies inventariados","IFN2",10,28,29.31,0.12,0,4.02,0,0,41.79,40.54,1371.7,11.1,7.82,8.04,0.15,27.38,27.38,72.02,166.39,178.79,8.12,18.73,19.15,-0.42,0.01,0,0,0,0,10.49,4.48,3.08,0.36,17.62,9.1,1,2.83,3.49,6.65,23.07,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,"40_1808","Nodo 3 - Pies inventariados","IFN2",10,35,2524.62,26.04,131.51,45.2,0.01,2.32,15.1,20.44,328.81,10.15,2.56,2.6,1.34,59.61,49.63,1044.45,19.62,21.08,7,191.42,168.31,23.11,0.02,9.06,0,0,0,0,11,0,134.35,171.9,79.97,0,18.14,42,74.81,214.92,0.04,8.15,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,"42_1194","Nodo 3 - Pies inventariados","IFN2",10,32,1158.31,8.61,180.16,25.61,0,4.61,16.78,23.48,433.05,11.47,2.93,2.99,0.81,57.48,48.86,576.4,25.61,27.52,7.87,115.98,103.64,12.33,0.02,21.16,0,0,0,0,27.65,0,65.84,104.89,49.24,0,10.43,22.21,42.39,124.27,0.02,17.12,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"42_124","Nodo 3 - Pies inventariados","IFN2",10,22,270.24,1.12,80.37,6.99,0,1.77,18.15,18.82,278.14,8.81,3.56,3.56,0.27,47.48,46.85,154.29,69.01,74.16,5.87,27.59,24.88,2.71,0.01,6.43,0,0,0,0,0,0,18.11,25.08,11.82,0,3.26,7.01,11.57,33.66,0.01,6.27,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"42_586","Nodo 3 - Pies inventariados","IFN2",10,28,862.11,5.11,135.11,15.45,0.01,2.2,15.11,18.25,262.05,8.03,2.88,2.9,0.57,50.17,44.01,357.05,42.4,45.56,5.07,54.67,48.33,6.34,0.02,7.05,0,0,0,0,0,0,41.95,47.62,22.96,0,7.15,17.4,25.58,73.09,0.03,7.75,"Nodo 1 - Pies inventariados","IFN3",2004,30,254.65,0,0,5.02,NA,NA,15.84,18.17,259.85,8.19,3.17,3.2,0.2,48.31,45.05,114.61,76.55,82.26,8.02,17.96,16,1.95,NA,NA,0,0,0,0,0,0,12.55,15.95,7.6,0,2.38,5.62,8.31,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"42_828","Nodo 3 - Pies inventariados","IFN2",10,30,474.77,2.88,95.68,6.45,0,1.4,13.16,14.64,168.43,7.24,2.65,2.66,0.26,53.13,49.46,154.39,63.37,68.09,4.5,21.5,18.66,2.84,0.02,4.6,0,0,0,0,0,0,17.24,18.62,8.86,0,2.88,7.73,10.68,30.16,0.04,4.66,"Nodo 1 - Pies inventariados","IFN3",2004,32,286.48,0,0,3.39,NA,NA,12.28,13.01,135.06,7.49,2.51,2.53,0.14,61.96,57.6,82.53,78.85,84.73,7.43,12.42,10.62,1.8,NA,NA,0,0,0,0,0,0,8.96,10.59,5.05,0,1.34,3.65,5.61,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
