"","X.2","X.1","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,1,1,"40_1022","Nodo 3 - Pies inventariados","IFN2",10,35,1054.52,0,110.21,46.93,NA,4.54,23.8,33.56,889.31,15.48,3.54,3.65,1.1,60.4,46.12,967.76,19.9,21.38,11.87,299.41,277.92,21.49,0,27.08,0,0,0,23.84,167.05,136.75,68.57,281.71,132.05,0,17.81,28.06,77.67,255.59,NA,18.8,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,2,2,"40_1033","Nodo 3 - Pies inventariados","IFN2",10,35,1224.57,0,160,40.42,NA,5.66,20.5,27.29,587.69,12.53,3.35,3.42,1.12,53.01,45.92,865.22,22.8,24.5,8.71,201.01,184.08,16.93,0,26.43,0,0,0,0,92.97,39.54,74.24,186.05,87.46,0,17.21,32.01,66.9,203.58,NA,22.37,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,3,3,"40_1062","Nodo 3 - Pies inventariados","IFN2",10,38,1161.53,0,142.94,29.29,NA,4.12,17.92,24.41,468.04,10.54,3.16,3.22,0.94,49.12,43.17,648.52,27.84,29.92,6.87,118.7,107.45,11.25,0,16.68,0,0,0,0,32.57,0,62.95,107.46,51.06,0,13.63,28.82,48.48,141.99,NA,15.89,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,"40_1089","Nodo 3 - Pies inventariados","IFN2",10,42,453.07,0,120.61,18.83,NA,4.84,23,26.08,535.94,10.43,4.09,4.12,0.6,46.64,40,391.68,45.04,48.4,7.79,89.53,83.09,6.44,0,21.33,0,0,0,0,49.97,15.12,24.17,82.88,39.48,0,8.73,15.52,31.17,94.9,NA,18.97,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,"40_1141","Nodo 3 - Pies inventariados","IFN2",10,29,930.86,0,103.26,41.34,NA,4.48,23.78,29.13,667.31,13.65,3.73,3.77,1.04,56.57,46.86,852.71,24.01,25.8,10.19,246.42,227.64,18.78,0,24.72,0,0,0,2.72,149.09,111.57,59.19,231.32,108.16,0,16.17,26.59,68.42,219.33,NA,18.25,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,"40_1145","Nodo 3 - Pies inventariados","IFN2",10,38,520.53,0,74.89,28.82,NA,3.56,26.55,33.66,893.22,13.24,4.3,4.38,0.78,50.52,39.34,578.35,33.1,35.57,9.81,166.83,157.22,9.61,0,19.31,0,0,0,22.59,97.51,87.97,27.27,157.41,74.7,0,12.54,19.24,47.7,154.18,NA,14.69,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,7,7,"40_1396","Nodo 3 - Pies inventariados","IFN2",10,28,29.43,0,0,4.04,NA,0,41.79,40.54,1371.38,11.1,7.82,8.04,0.15,27.39,27.39,72.3,166.05,178.44,8.12,18.8,19.23,-0.42,0,0,0,0,0,10.53,4.5,3.09,0.36,17.69,9.13,1,2.84,3.5,6.68,23.16,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,8,8,"40_1808","Nodo 3 - Pies inventariados","IFN2",10,35,2550.74,0,131.58,45.6,NA,2.32,15.09,20.44,328.9,10.14,2.56,2.6,1.35,59.64,49.62,1054.02,19.52,20.97,7,193.14,169.81,23.33,0,9.06,0,0,0,0,11.05,0,135.62,173.43,80.68,0,18.3,42.38,75.48,216.84,NA,8.15,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,9,9,"42_1194","Nodo 3 - Pies inventariados","IFN2",10,32,1166.99,0,180.23,25.77,NA,4.61,16.77,23.48,433.02,11.47,2.92,2.98,0.82,57.5,48.86,580.11,25.51,27.42,7.87,116.69,104.27,12.42,0,21.16,0,0,0,0,27.75,0,66.35,105.53,49.54,0,10.49,22.35,42.66,125.04,NA,17.13,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,"42_124","Nodo 3 - Pies inventariados","IFN2",10,22,271.35,0,80.37,7.02,NA,1.77,18.15,18.82,278.22,8.82,3.56,3.56,0.27,47.49,46.85,154.92,68.85,73.99,5.87,27.7,24.98,2.72,0,6.43,0,0,0,0,0,0,18.19,25.19,11.87,0,3.27,7.04,11.62,33.8,NA,6.27,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
