"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,"40_1022","Nodo 3 - Pies inventariados",35,"IFN2",10,35,953.29,0,8.97,42.11,NA,0.1,23.71,33.15,868.55,15.44,3.57,3.68,1.02,60.54,46.58,869.18,20.98,22.54,11.87,268.36,249.01,19.35,0,0.52,0,0,0,21.09,149.04,121.85,62.22,252.54,118.31,0,15.97,25.21,69.69,229.19,NA,0.29,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,"40_1033","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1077.16,0,12.59,34.35,NA,0.12,20.15,26.69,561.87,12.11,3.35,3.42,0.99,53.46,45.39,738.45,25.15,27.03,8.71,169.93,155.24,14.69,0,0.29,0,0,0,0,75.17,28.09,66.05,157.05,73.76,0,14.54,27.38,56.85,172.53,NA,0.41,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,"40_1062","Nodo 3 - Pies inventariados",35,"IFN2",10,38,1031.22,0,12.63,25.07,NA,0.14,17.59,24.03,453.88,10.03,3.15,3.2,0.83,49.6,41.73,557.68,31.06,33.37,6.87,100.85,91.02,9.82,0,0.44,0,0,0,0,26.23,0,56.14,91.22,43.25,0,11.59,24.84,41.5,121.19,NA,0.42,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"40_1089","Nodo 3 - Pies inventariados",35,"IFN2",10,42,332.46,0,0,13.44,NA,0,22.69,25.74,521.61,10.8,4.12,4.15,0.45,47.11,41.94,280.51,50.8,54.59,7.79,63.8,59.09,4.71,0,0,0,0,0,0,34.33,14.88,18.13,59,28.08,0,6.19,11.09,22.24,67.6,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"40_1141","Nodo 3 - Pies inventariados",35,"IFN2",10,29,827.61,0,0,36.45,NA,0,23.68,28.98,660.42,13.6,3.77,3.81,0.94,56.78,46.94,752.65,25.56,27.46,10.19,217.36,200.66,16.7,0,0,0,0,0,2.26,132.48,96.36,53.06,203.93,95.34,0,14.21,23.43,60.33,193.31,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"40_1145","Nodo 3 - Pies inventariados",35,"IFN2",10,38,445.63,0,0,24.92,NA,0,26.68,33.27,873.1,13.23,4.37,4.45,0.69,50.23,39.78,499.44,35.79,38.46,9.81,144.09,135.88,8.21,0,0,0,0,0,19.7,84.41,76.78,23.08,135.9,64.56,0,10.88,16.66,41.25,133.34,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,"40_1396","Nodo 3 - Pies inventariados",35,"IFN2",10,28,29.43,0,0,4.04,NA,0,41.79,40.54,1371.38,11.1,7.82,8.04,0.15,27.39,27.39,72.3,166.05,178.44,8.12,18.8,19.23,-0.42,0,0,0,0,0,10.53,4.5,3.09,0.36,17.69,9.13,1,2.84,3.5,6.68,23.16,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,"40_1808","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2446.59,0,27.44,43.31,NA,0.29,15.01,20.37,326.55,10.16,2.56,2.6,1.3,59.84,49.88,1002.36,19.9,21.38,7,183.27,161.02,22.25,0,1.08,0,0,0,0,10.18,0,129.22,164.52,76.51,0,17.34,40.29,71.69,205.84,NA,0.89,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,"42_1194","Nodo 3 - Pies inventariados",35,"IFN2",10,32,1014.67,0,27.92,21.16,NA,0.28,16.29,22.63,403.39,11,2.9,2.95,0.69,58.3,48.62,479.71,28.53,30.66,7.87,94.51,84.07,10.45,0,1.08,0,0,0,0,17.67,0,57.53,85.14,39.94,0,8.54,18.59,35.02,102.09,NA,0.84,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"42_124","Nodo 3 - Pies inventariados",35,"IFN2",10,22,190.99,0,0,4.96,NA,0,18.18,18.61,272.05,8.68,3.62,3.62,0.2,47.37,46.64,109.4,83.39,89.61,5.87,19.55,17.64,1.91,0,0,0,0,0,0,0,0,12.78,17.77,8.38,0,2.31,4.98,8.21,23.88,NA,0,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
