"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1","40_1022_1","IFN2","40_1022",NA,NA,1,NA,31.83,26.18,15.1,538.36,21.27,82.25,57.68,0.36,4,9.69,11.34,360.62,335.48,25.14,0,0,0,0,251.87,217.71,51.58,341.99,159.4,0,19.86,30.41,89.11,298.79,"Nodo 3 - Pies inventariados",4.73,3.6,21.45,"40_1022_1","IFN3","40_1022",1,1,1,14.15,26.11,13.58,535.52,18.95,0.76,82.03,52.02,0.4,4.19,8.19,9.68,321.28,300.19,21.1,4.55,0,0,0,0,241.2,209.96,49.35,302.91,142.63,0,21.69,34.16,88.64,287.12,"Nodo 1 - Pies inventariados",4.66,2.08
"2","40_1022_10","IFN2","40_1022",NA,NA,10,NA,14.15,27.33,14.62,586.79,15.01,85.87,53.49,0.38,4.25,9.13,10.79,377.55,354.08,23.47,0,0,0,0,261.34,226.96,48.8,358.16,168.24,0,23.01,34.7,97.13,323.07,"Nodo 3 - Pies inventariados",4.78,3.62,22.55,"40_1022_15","IFN3","40_1022",15,15,10,14.15,27.22,13.92,581.87,16.55,0.82,85.51,51.13,0.4,4.36,8.32,9.86,355.77,334.17,21.59,5.03,0,0,0,0,254.56,221.83,48.2,333.75,158.78,0,23.78,36.4,96.31,315.26,"Nodo 1 - Pies inventariados",4.67,2.92
"3","40_1022_11","IFN2","40_1022",NA,NA,11,NA,31.83,24.8,13.59,483.17,24.58,77.92,54.81,0.36,3.88,8.74,10.25,292.44,271.07,21.37,0,0,0,0,174.37,198.47,51.41,275.91,128.8,0,18.82,30.48,79.98,258.07,"Nodo 3 - Pies inventariados",4.7,3.59,20.1,"40_1022_16","IFN3","40_1022",16,16,11,14.15,24.65,13.33,477.35,19.71,0.68,77.45,54.08,0.4,3.97,8.05,9.52,283.38,262.66,20.72,4.01,0,0,0,0,173.25,196.64,51.86,266.26,124.8,0,18.84,30.76,79.01,253.41,"Nodo 1 - Pies inventariados",4.55,3.33
"4","40_1022_12","IFN2","40_1022",NA,NA,12,NA,14.15,28.01,14.13,616,13.27,87.98,50.44,0.38,4.41,8.73,10.35,380.87,359.09,21.78,0,0,0,0,266,231.63,46.37,356.97,170.62,0,25.37,38.09,101.96,336.04,"Nodo 3 - Pies inventariados",4.81,3.63,23.2,"40_1022_17","IFN3","40_1022",17,17,12,14.15,27.85,13.42,609.31,14.86,0.86,87.5,48.17,0.41,4.52,7.94,9.44,357.3,337.36,19.93,5.05,0,0,0,0,258.17,225.53,45.54,337.45,160.29,0,26.18,39.94,100.85,327.26,"Nodo 1 - Pies inventariados",4.65,2.92
"5","40_1022_13","IFN2","40_1022",NA,NA,13,NA,14.15,27.95,13.62,613.76,14.14,87.82,48.73,0.38,4.44,8.42,9.99,365.44,345.01,20.43,0,0,0,0,260,226.89,45.89,345.34,163.92,0,26.08,39.56,101.59,331.16,"Nodo 3 - Pies inventariados",4.8,3.62,23.15,"40_1022_18","IFN3","40_1022",18,18,13,14.15,27.97,13.33,614.58,13.13,0.87,87.88,47.66,0.41,4.56,7.83,9.33,357.81,338.17,19.64,5.06,0,0,0,0,259.04,226.69,44.97,340.19,160.68,0,26.64,40.61,101.73,329.65,"Nodo 1 - Pies inventariados",4.82,3.33
"6","40_1022_14","IFN2","40_1022",NA,NA,14,NA,31.83,20.95,13.1,344.88,31.36,65.83,62.52,0.34,3.28,8.61,10.03,206.1,186.45,19.65,0,0,0,0,128.68,0,72.99,193.37,88.59,0,12.26,21.96,57.08,179.89,"Nodo 3 - Pies inventariados",4.6,3.6,16.35,"40_1022_21","IFN3","40_1022",21,21,14,31.83,19.44,12.83,296.94,26.5,0.95,61.09,66,0.38,3.13,7.94,9.33,175.69,157.26,18.43,5.59,0,0,0,0,65.67,0,87.94,164.12,74.72,0,10.17,19.07,49.15,153.11,"Nodo 1 - Pies inventariados",3.09,3.33
"7","40_1022_15","IFN2","40_1022",NA,NA,15,NA,31.83,18.47,12.6,267.99,38.48,58.03,68.22,0.33,2.89,8.45,9.79,156.8,139.36,17.44,0,0,0,0,59.51,0,91.54,145.08,66.22,0,8.98,17.4,44.36,136.96,"Nodo 3 - Pies inventariados",4.52,3.6,13.95,"40_1022_22","IFN3","40_1022",22,22,15,31.83,17.14,12.33,230.78,29.85,0.73,53.85,71.95,0.38,2.77,7.7,9.03,133.56,117.46,16.1,4.25,0,0,0,0,0,0,100.82,124.48,55.81,0,7.46,15.13,38.2,116.6,"Nodo 1 - Pies inventariados",3.19,3.33
"8","40_1022_16","IFN2","40_1022",NA,NA,16,NA,14.15,35.69,16.65,1000.34,1.57,112.12,46.65,0.4,5.46,9.98,11.91,707.44,687.27,20.17,0,0,0,375.7,313.58,273.9,26.26,678.12,326.55,0,42.54,53.71,165.58,588.38,"Nodo 3 - Pies inventariados",4.94,3.65,30.75,"40_1022_24","IFN3","40_1022",24,24,16,14.15,38.22,15.5,1147.57,1.74,1.62,120.09,40.55,0.43,6.09,8.77,10.55,745.23,734.05,11.18,10.54,0,0,0,415.96,228.29,255.8,22.81,708.08,348.77,0.19,54.77,67.83,189.95,661.5,"Nodo 1 - Pies inventariados",7.47,2.5
"9","40_1022_17","IFN2","40_1022",NA,NA,17,NA,14.15,33.36,15.14,874.06,4.24,104.8,45.39,0.4,5.23,9.08,10.86,565.73,546.24,19.49,0,0,0,187.6,318.1,276.94,27.21,537.74,259.54,0,38.5,51.65,144.68,494.36,"Nodo 3 - Pies inventariados",4.91,3.64,28.45,"40_1022_27","IFN3","40_1022",27,27,17,14.15,33.9,14,902.75,4.77,1.28,106.51,41.29,0.43,5.53,7.95,9.57,536.93,521.56,15.36,7.6,0,0,0,188.33,302.53,267.22,25.93,506.11,247.81,0,43.19,58.58,149.42,499.01,"Nodo 1 - Pies inventariados",5.45,2.5
"10","40_1022_18","IFN2","40_1022",NA,NA,18,NA,14.15,33.61,15.65,887.44,2.98,105.6,46.56,0.4,5.23,9.37,11.2,593.79,573.16,20.63,0,0,0,191.53,320.26,279.1,27.66,560.82,272.33,0,38.17,50.56,146.89,507.95,"Nodo 3 - Pies inventariados",4.91,3.65,28.7,"40_1022_28","IFN3","40_1022",28,28,18,14.15,35.65,14.5,997.91,3.36,1.41,111.98,40.68,0.43,5.77,8.21,9.88,610.96,597.13,13.82,8.64,0,0,0,356.91,232.32,261.52,24.72,575.45,283.72,0,48.01,62.82,165.17,559.72,"Nodo 1 - Pies inventariados",6.95,2.5
