"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","simanfor.plot.MARTONNE_1","simanfor.plot.MARTONNE_2","simanfor.plot.MARTONNE_3","simanfor.plot.MARTONNE_4","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,"40_1022","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1071.93,12.67,140.27,35.97,0.01,4.89,20.67,30.42,731.48,13.21,3.27,3.41,0.98,58.85,43.43,768.39,23.12,24.84,11.87,196.2,180.17,16.04,0.04,26.08,0,0,0,6.14,93.94,73.9,65.16,182.54,85.6,0,14.54,25.52,59.53,185.19,0.04,23.27,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,"40_1033","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1239.92,10.6,185.95,29.89,0,6.02,17.52,25.13,498.72,10.3,3.04,3.14,0.96,49.72,40.96,665.59,27.58,29.64,8.71,121.9,110.5,11.4,0.02,25.41,0,0,0,0,38.96,0,60.25,110.22,52.5,0,13.99,29.63,49.48,145.6,0.03,28.09,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,"40_1062","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,1130.7,8.4,120.51,18.54,0,2.15,14.45,20.84,341.3,7.87,2.73,2.8,0.7,44.86,37.75,433.15,37.8,40.61,6.87,56.62,50.4,6.22,0.02,6.46,0,0,0,0,4.87,0,35.63,48.69,23.95,0,9.79,24.99,30.69,89.41,0.02,9.8,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"40_1089","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,42,456.77,1.97,126.28,14.87,0,5.05,20.36,25,491.95,8.23,3.81,3.86,0.54,41.49,32.94,318.97,56.82,61.06,7.79,55.65,51.34,4.31,0.03,18.02,0,0,0,0,15.99,0,23.19,50.48,24.39,0,7.97,15.94,24.62,72.92,0.04,23.41,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"40_1141","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,29,941.04,5.92,119.37,31.55,0,4.74,20.66,25.99,531.55,11.44,3.47,3.52,0.92,54.16,44.02,674.12,28.49,30.62,10.19,157.89,144.08,13.8,0.02,22.83,0,0,0,0,62.72,20.2,63.99,146.28,68.46,0,13.26,24.56,52.22,158.5,0.02,22.29,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"40_1145","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,528.65,3.06,86.08,22.9,0,3.82,23.48,30.52,734.64,11,4.03,4.12,0.71,47.42,36.03,473.85,39.55,42.5,9.81,110.63,103.32,7.31,0.03,17.9,0,0,0,8.58,58.65,20.77,28.39,102.48,49.09,0,10.89,18.64,37.9,116.53,0.03,18.03,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,"40_1396","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,29.31,0.12,0,3.41,0,0,38.51,37.15,1164.88,8.82,7.47,7.73,0.14,23.74,23.74,62.42,209.39,225.01,8.12,12.82,13.1,-0.28,0.01,0,0,0,0,7.59,2.5,0,0.36,11.81,6.22,0.58,2.78,3.78,5.65,19.02,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,"40_1808","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2560.88,27.41,169.14,28.42,0.01,2.41,11.89,17.15,231.68,7.81,2.18,2.24,1,56.8,45.55,697.23,25.29,27.18,7,92.42,79.6,12.81,0.02,7.71,0,0,0,0,0,0,63.6,78.04,37.82,0,12.59,35.32,47.04,132.77,0.04,10.73,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,"42_1194","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,32,1120.35,9.09,142.68,15.63,0,2.37,13.33,19.7,305.42,8.88,2.49,2.56,0.58,54.95,45.08,372.74,33.64,36.14,7.87,55.26,48.41,6.86,0.02,8.37,0,0,0,0,5.06,0,37.08,48.23,23,0,6.94,17.82,25.88,73.64,0.02,10.34,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"42_124","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,22,303.66,1.19,113.86,5.2,0,1.85,14.76,15.51,189.03,6.58,3.04,3.04,0.22,42.94,42.44,120.76,87.16,93.66,5.87,15.36,13.61,1.75,0.01,5.37,0,0,0,0,0,0,11.5,13.12,6.46,0,2.74,7.13,8.6,24.93,0.01,8.1,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
