"","X","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1",1,"40_1022_1","IFN2","40_1022",NA,NA,1,NA,36.01,22.8,12.82,408.42,19.97,71.64,56.2,0.39,3.69,7.84,9.27,235.43,215.99,19.44,0,0,0,0,149.61,169,65.37,222.21,102.63,0,15.76,27.12,67.6,213.11,"Nodo 3 - Pies inventariados",1.35,1.32,21.45,"40_1022_1","IFN3","40_1022",1,1,1,14.15,26.11,13.58,535.52,18.95,0.76,82.03,52.02,0.4,4.19,8.19,9.68,321.28,300.19,21.1,4.55,0,0,0,0,241.2,209.96,49.35,302.91,142.63,0,21.69,34.16,88.64,287.12,"Nodo 1 - Pies inventariados",4.66,2.08
"2",2,"40_1022_10","IFN2","40_1022",NA,NA,10,NA,16.87,23.96,12.34,450.77,14.26,75.26,51.49,0.41,3.95,7.34,8.76,247.8,229.47,18.33,0,0,0,0,161.02,181.85,50.72,230.99,109.03,0,18.68,31.59,74.61,233.91,"Nodo 3 - Pies inventariados",1.41,1.34,22.55,"40_1022_15","IFN3","40_1022",15,15,10,14.15,27.22,13.92,581.87,16.55,0.82,85.51,51.13,0.4,4.36,8.32,9.86,355.77,334.17,21.59,5.03,0,0,0,0,254.56,221.83,48.2,333.75,158.78,0,23.78,36.4,96.31,315.26,"Nodo 1 - Pies inventariados",4.67,2.92
"3",3,"40_1022_11","IFN2","40_1022",NA,NA,11,NA,34.92,21.43,11.31,360.55,22.76,67.31,52.79,0.39,3.56,6.91,8.21,184.17,168.29,15.88,0,0,0,0,75.79,0,65.79,169.63,79.96,0,14.87,27.31,59.68,181.82,"Nodo 3 - Pies inventariados",1.33,1.31,20.1,"40_1022_16","IFN3","40_1022",16,16,11,14.15,24.65,13.33,477.35,19.71,0.68,77.45,54.08,0.4,3.97,8.05,9.52,283.38,262.66,20.72,4.01,0,0,0,0,173.25,196.64,51.86,266.26,124.8,0,18.84,30.76,79.01,253.41,"Nodo 1 - Pies inventariados",4.55,3.33
"4",4,"40_1022_12","IFN2","40_1022",NA,NA,12,NA,16.87,24.63,11.84,476.43,12.65,77.38,48.07,0.41,4.11,6.96,8.36,249.83,232.77,17.06,0,0,0,0,165.03,185.48,48.86,233.29,110.6,0,20.91,35.2,78.86,245.56,"Nodo 3 - Pies inventariados",1.43,1.34,23.2,"40_1022_17","IFN3","40_1022",17,17,12,14.15,27.85,13.42,609.31,14.86,0.86,87.5,48.17,0.41,4.52,7.94,9.44,357.3,337.36,19.93,5.05,0,0,0,0,258.17,225.53,45.54,337.45,160.29,0,26.18,39.94,100.85,327.26,"Nodo 1 - Pies inventariados",4.65,2.92
"5",5,"40_1022_13","IFN2","40_1022",NA,NA,13,NA,16.87,24.58,11.33,474.47,13.46,77.22,46.12,0.41,4.14,6.66,8.01,237.81,221.94,15.88,0,0,0,0,163.04,182.98,47.98,223.42,105.45,0,21.62,36.85,78.54,242.45,"Nodo 3 - Pies inventariados",1.43,1.33,23.15,"40_1022_18","IFN3","40_1022",18,18,13,14.15,27.97,13.33,614.58,13.13,0.87,87.88,47.66,0.41,4.56,7.83,9.33,357.81,338.17,19.64,5.06,0,0,0,0,259.04,226.69,44.97,340.19,160.68,0,26.64,40.61,101.73,329.65,"Nodo 1 - Pies inventariados",4.82,3.33
"6",6,"40_1022_14","IFN2","40_1022",NA,NA,14,NA,34.81,17.58,10.82,242.63,28.18,55.22,61.56,0.38,2.92,6.73,7.96,121.98,108.33,13.65,0,0,0,0,0,0,88.31,113.17,51.47,0,8.99,18.6,40.16,119.22,"Nodo 3 - Pies inventariados",1.23,1.32,16.35,"40_1022_21","IFN3","40_1022",21,21,14,31.83,19.44,12.83,296.94,26.5,0.95,61.09,66,0.38,3.13,7.94,9.33,175.69,157.26,18.43,5.59,0,0,0,0,65.67,0,87.94,164.12,74.72,0,10.17,19.07,49.15,153.11,"Nodo 1 - Pies inventariados",3.09,3.33
"7",7,"40_1022_15","IFN2","40_1022",NA,NA,15,NA,34.67,15.09,10.32,178.93,33.58,47.42,68.39,0.37,2.51,6.52,7.69,87.68,76.23,11.46,0,0,0,0,0,0,70.78,79.51,36.22,0,6.18,14.05,29.62,86.06,"Nodo 3 - Pies inventariados",1.14,1.32,13.95,"40_1022_22","IFN3","40_1022",22,22,15,31.83,17.14,12.33,230.78,29.85,0.73,53.85,71.95,0.38,2.77,7.7,9.03,133.56,117.46,16.1,4.25,0,0,0,0,0,0,100.82,124.48,55.81,0,7.46,15.13,38.2,116.6,"Nodo 1 - Pies inventariados",3.19,3.33
"8",8,"40_1022_16","IFN2","40_1022",NA,NA,16,NA,16.91,32.32,14.36,820.24,1.55,101.53,44.43,0.43,5.23,8.2,9.88,504.66,486.06,18.6,0,0,0,174.08,319.18,277.45,27.63,477.59,230.94,0,37.02,51.21,135.77,454.93,"Nodo 3 - Pies inventariados",1.57,1.36,30.75,"40_1022_24","IFN3","40_1022",24,24,16,14.15,38.22,15.5,1147.57,1.74,1.62,120.09,40.55,0.43,6.09,8.77,10.55,745.23,734.05,11.18,10.54,0,0,0,415.96,228.29,255.8,22.81,708.08,348.77,0.19,54.77,67.83,189.95,661.5,"Nodo 1 - Pies inventariados",7.47,2.5
"9",9,"40_1022_17","IFN2","40_1022",NA,NA,17,NA,16.91,29.99,12.86,706.24,4.16,94.21,42.87,0.43,4.98,7.34,8.87,391.56,374.67,16.9,0,0,0,0,276.66,243.26,28.25,366.26,178.02,0,33.31,49.35,116.9,377.57,"Nodo 3 - Pies inventariados",1.54,1.36,28.45,"40_1022_27","IFN3","40_1022",27,27,17,14.15,33.9,14,902.75,4.77,1.28,106.51,41.29,0.43,5.53,7.95,9.57,536.93,521.56,15.36,7.6,0,0,0,188.33,302.53,267.22,25.93,506.11,247.81,0,43.19,58.58,149.42,499.01,"Nodo 1 - Pies inventariados",5.45,2.5
"10",10,"40_1022_18","IFN2","40_1022",NA,NA,18,NA,16.91,30.24,13.36,718.28,2.94,95.01,44.18,0.43,4.98,7.62,9.2,414.11,396.06,18.04,0,0,0,0,286.72,250.76,28.33,389.73,188.18,0,32.92,48.09,118.89,388.08,"Nodo 3 - Pies inventariados",1.54,1.36,28.7,"40_1022_28","IFN3","40_1022",28,28,18,14.15,35.65,14.5,997.91,3.36,1.41,111.98,40.68,0.43,5.77,8.21,9.88,610.96,597.13,13.82,8.64,0,0,0,356.91,232.32,261.52,24.72,575.45,283.72,0,48.01,62.82,165.17,559.72,"Nodo 1 - Pies inventariados",6.95,2.5
