"","PLOT_ID","Hoja árboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez (hq/dq).x","Esbeltez (h100/d100).x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq).y","Esbeltez (h100/d100).y","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"1","16_2992","Nodo 3 - Pies inventariados","IFN2",20,50.84,0.23,0,3.81,0.02,0,30.87,15.44,380.52,5.53,4.6,4.63,0.08,35.82,35.82,71.68,253.6,272.51,27.76,14.91,10.15,4.77,0.03,0,0,2.67,8.79,13.93,6.88,0.7,1.46,2.59,11.63,0.02,0,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"2","19_1047","Nodo 7 - Pies inventariados","IFN2",35,1166.13,5.66,156.74,36.65,0.12,5.67,20,28.24,632.4,8.97,2.94,3,0.82,41.89,31.78,811.02,32.63,35.06,16.89,142.26,93.84,48.41,0.29,21.23,0,0,53.63,128.72,67.87,5.81,15.92,24.03,113.63,0.22,13.01,"IFN3","Ppi.ster_me__sim__v01",35,657.84,18.72,19.03,25.68,525.83,8.54,2.91,2.96,0.45,39.03,33.25,421.94,45.66,16.08,66.59,43.73,22.86,0,0,14.2,59.84,32.58,2.81,8.01,11.82,55.22,4.42772865,187.45,15.2922489,12.4180695,0,0,0,0,.,.,.,.
"3","19_1051","Nodo 11 - Pies inventariados","IFN2",30,656.16,2.32,120.89,26.1,0.06,4.87,22.5,27.91,614.03,8.95,3.4,3.43,0.61,36.47,32.08,552.8,43.6,46.85,19.14,100.24,66.62,33.62,0.16,18.03,0,0,50.03,91.45,48.81,4.58,11.69,18.44,83.53,0.13,10.81,"IFN3","Ppi.ster_me__sim__v01",30,481,15.98,20.57,25.56,516.25,8.65,3.18,3.22,0.39,34.34,33.86,349.95,52.7,17.26,55.06,36.35,18.71,0,0,23.78,49.21,27.52,2.58,6.98,10.62,47.7,3.3719369,106.11,13.1554819,10.829103,0,0,0,0,.,.,.,.
"4","19_1052","Nodo 15 - Pies inventariados","IFN2",35,2031.27,17.49,237.92,52.28,0.3,6.85,18.1,27.32,588.48,9.58,2.57,2.65,1.12,42.55,35.06,1200.51,23.17,24.89,18.16,197.05,129.45,67.6,0.5,26.14,0,0,61.51,177.23,93.95,7.65,22.16,32.34,156.1,0.41,15.39,"IFN3","Ppi.ster_me__sim__v01",35,1145.92,25.86,16.95,25.95,536.95,7.71,2.48,2.62,0.62,37.51,29.7,608.51,38.34,15.17,81.08,52.98,28.11,0,2.51,27.15,71.32,41.24,3.77,10.91,15.89,71.8,4.64611932,201.6,13.758169,12.4377362,0,0,0,0,.,.,.,.
"5","19_1062","Nodo 19 - Pies inventariados","IFN2",30,1209.09,6.16,196.66,28.92,0.08,4.82,17.45,23.56,436.37,9.74,2.6,2.66,0.67,44.55,41.35,673.16,29.52,31.73,19.44,109.01,71.28,37.74,0.16,18.61,0,0,33.93,98.03,51.5,3.93,12.03,17.03,84.5,0.13,9.49,"IFN3","Ppi.ster_me__sim__v01",30,622.47,17.83,19.09,25.05,493.12,8.4,2.92,2.97,0.43,39.34,33.53,401.32,47.73,17.47,64.04,42.06,21.98,0,0,18.46,57.37,31.22,2.66,7.62,11.23,52.74,10.1691498,392.58,36.0172099,29.3477763,0,0,0,0,.,.,.,.
"6","19_1064","Nodo 23 - Pies inventariados","IFN2",35,1170.44,8.05,163.43,41.11,0.2,5.37,21.15,26.97,573.22,9.69,3.06,3.12,0.89,43.5,35.91,891.21,30.18,32.43,18.33,178.02,118.27,59.75,0.41,22.21,0,0,85.67,162.9,82.34,6.86,18.15,28.03,135.39,0.31,12.5,"IFN3","Ppi.ster_me__sim__v01",35,495.15,16.2,20.41,26.88,571.22,10.5,3.52,3.57,0.37,45.85,39.07,355.76,42.8,18.31,72.77,48.73,24.04,0,2.27,43.14,67.53,33.25,2.89,7.1,11.44,54.68,8.2724509,318.33,35.5788436,26.6098205,0,0,0,0,.,.,.,.
"7","19_1065","Nodo 27 - Pies inventariados","IFN2",30,672.95,1.74,197.23,17.35,0.03,4.87,18.12,22.89,412.19,10.14,2.75,2.79,0.41,51.64,44.31,398.27,38.01,40.85,19.44,77.07,50.63,26.45,0.07,21.06,0,0,28.97,70.53,34.4,2.4,7.27,10.36,54.43,0.05,9.49,"IFN3","Ppi.ster_me__sim__v01",30,1641.06,27.32,14.56,25.31,505.31,11.28,2.38,2.53,0.52,53.24,44.56,680.16,21.89,20.87,104.11,68.63,35.48,0,0,44.37,94.45,46.22,3.31,9.65,14.03,73.22,17.88565586,1135.29,71.4777127,49.9619549,0,0,0,0,.,.,.,.
"8","19_1067","Nodo 31 - Pies inventariados","IFN2",35,1631.35,9.17,208.13,43.23,0.16,6.58,18.37,27.02,573.64,8.84,2.68,2.74,0.96,40.67,32.72,987.46,28,30.09,16.8,154.64,101.34,53.3,0.32,23.71,0,0,48.63,138.62,75.1,6.26,18.3,26.6,126.27,0.26,14.54,"IFN3","Ppi.ster_me__sim__v01",35,541.13,18.48,20.85,24.84,485.5,8,3.21,3.25,0.45,35.41,32.23,402.64,53.7,15.54,64.5,42.55,21.96,0,0,29.84,58.29,32.15,2.98,8.09,12.31,55.53,4.82697839,134.41,17.3430484,15.0213942,0,0,0,0,.,.,.,.
"9","19_1074","Nodo 35 - Pies inventariados","IFN2",30,630.76,2.66,155.96,18.44,0.05,4.3,19.29,24.35,466.45,7.49,2.97,3.03,0.45,33.75,30.75,413.48,53.18,57.14,16.32,57.45,37.64,19.81,0.07,13.15,0,0,17.85,51.19,29.52,2.79,7.91,11.71,51.93,0.06,8.01,"IFN3","Ppi.ster_me__sim__v01",30,717.97,21.46,19.51,24.81,485.86,7.51,3,3.04,0.52,32.82,30.27,479.36,49.7,16.28,66.21,43.38,22.83,0,0,18.15,58.21,34.17,3.24,9.22,13.64,60.27,10.78106303,389.05,33.4389841,29.9619161,.,.,.,.,.,.,.,.
"10","19_2185","Nodo 39 - Pies inventariados","IFN2",21,612.3,1.3,104.29,11.33,0.01,1.7,15.35,15.59,190.89,7.12,2.44,2.44,0.29,45.11,45.65,276.67,56.79,61.02,21.05,37.81,24.31,13.5,0.03,5.42,0,0,0,33.03,18.18,1.24,4.46,5.76,29.64,0.03,2.18,"IFN3","Ppi.ster_me__sim__v01",20,222.82,2.83,12.72,13.26,138.18,6.78,2.1,2.1,0.08,53.56,51.13,74.16,98.8,19.52,9.41,5.97,3.44,0,0,0,8.18,4.4,0.25,1.05,1.24,6.94,.,.,.,.,.,.,.,.,.,.,.,.
