"","PLOT_ID","Hoja_arboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez_(hq/dq)","Esbeltez_(h100/d100)","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","W_descorchado","V_descorchado","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"1","16_2992","Nodo 3 - Pies inventariados","IFN2",20,51.07,0,0,3.82,.,0,30.86,15.5,381.9,5.56,4.6,4.63,0.08,35.83,35.83,71.96,251.9,270.68,27.76,14.98,10.19,4.79,0,0,0,2.67,8.83,13.99,6.92,0.7,1.47,2.6,11.68,.,0,.,.,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"2","16_2992","Nodo 3 - Pies inventariados","IFN2",20,51.07,0,0,3.82,.,0,30.86,15.5,381.9,5.56,4.6,4.63,0.08,35.83,35.83,71.96,251.9,270.68,27.76,14.98,10.19,4.79,0,0,0,2.67,8.83,13.99,6.92,0.7,1.47,2.6,11.68,.,0,.,.,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"3","19_1047","Nodo 3 - Pies inventariados","IFN2",35,1171.89,0,156.83,36.78,.,5.67,19.99,28.24,632.37,8.97,2.94,2.99,0.83,41.92,31.78,814.15,32.55,34.98,16.89,142.77,94.18,48.59,0,21.23,0,0,53.72,129.17,68.11,5.82,15.97,24.11,114.01,.,13.01,.,.,"IFN3","Ppi.ster_me__sim__v01",35,657.84,18.72,19.03,25.68,525.83,8.54,2.91,2.96,0.45,39.03,33.25,421.94,45.66,16.08,66.59,43.73,22.86,0,0,14.2,59.84,32.58,2.81,8.01,11.82,55.22,4.42772865,187.45,15.2922489,12.4180695,0,0,0,0,.,.,.,.
"4","19_1051","Nodo 3 - Pies inventariados","IFN2",30,658.51,0,120.92,26.17,.,4.87,22.5,27.91,614.02,8.95,3.4,3.43,0.61,36.47,32.08,554.48,43.52,46.77,19.14,100.52,66.81,33.72,0,18.03,0,0,50.14,91.7,48.95,4.59,11.73,18.49,83.76,.,10.81,.,.,"IFN3","Ppi.ster_me__sim__v01",30,481,15.98,20.57,25.56,516.25,8.65,3.18,3.22,0.39,34.34,33.86,349.95,52.7,17.26,55.06,36.35,18.71,0,0,23.78,49.21,27.52,2.58,6.98,10.62,47.7,3.3719369,106.11,13.1554819,10.829103,0,0,0,0,.,.,.,.
"5","19_1052","Nodo 3 - Pies inventariados","IFN2",35,2048.97,0,238.14,52.56,.,6.85,18.07,27.32,588.43,9.58,2.57,2.65,1.13,42.58,35.06,1207.7,23.07,24.79,18.16,197.96,130.03,67.93,0,26.14,0,0,61.57,178.05,94.39,7.68,22.27,32.48,156.81,.,15.39,.,.,"IFN3","Ppi.ster_me__sim__v01",35,1145.92,25.86,16.95,25.95,536.95,7.71,2.48,2.62,0.62,37.51,29.7,608.51,38.34,15.17,81.08,52.98,28.11,0,2.51,27.15,71.32,41.24,3.77,10.91,15.89,71.8,4.64611932,201.6,13.758169,12.4377362,0,0,0,0,.,.,.,.
"6","19_1062","Nodo 3 - Pies inventariados","IFN2",30,1215.4,0,196.8,29.02,.,4.82,17.44,23.56,436.35,9.74,2.6,2.65,0.67,44.57,41.35,675.73,29.45,31.64,19.44,109.35,71.49,37.86,0,18.61,0,0,33.95,98.33,51.67,3.94,12.07,17.08,84.76,.,9.5,.,.,"IFN3","Ppi.ster_me__sim__v01",30,622.47,17.83,19.09,25.05,493.12,8.4,2.92,2.97,0.43,39.34,33.53,401.32,47.73,17.47,64.04,42.06,21.98,0,0,18.46,57.37,31.22,2.66,7.62,11.23,52.74,10.1691498,392.58,36.0172099,29.3477763,0,0,0,0,.,.,.,.
"7","19_1064","Nodo 3 - Pies inventariados","IFN2",35,1178.67,0,163.61,41.29,.,5.37,21.12,26.97,573.2,9.69,3.05,3.11,0.9,43.53,35.91,895.48,30.07,32.32,18.33,178.71,118.72,59.99,0,22.22,0,0,85.87,163.52,82.66,6.89,18.23,28.13,135.91,.,12.51,.,.,"IFN3","Ppi.ster_me__sim__v01",35,495.15,16.2,20.41,26.88,571.22,10.5,3.52,3.57,0.37,45.85,39.07,355.76,42.8,18.31,72.77,48.73,24.04,0,2.27,43.14,67.53,33.25,2.89,7.1,11.44,54.68,8.2724509,318.33,35.5788436,26.6098205,0,0,0,0,.,.,.,.
"8","19_1065","Nodo 3 - Pies inventariados","IFN2",30,674.75,0,197.28,17.38,.,4.87,18.11,22.89,412.19,10.14,2.75,2.79,0.41,51.65,44.31,399.13,37.96,40.79,19.44,77.22,50.72,26.5,0,21.05,0,0,28.98,70.66,34.47,2.4,7.28,10.38,54.53,.,9.49,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1641.06,27.32,14.56,25.31,505.31,11.28,2.38,2.53,0.52,53.24,44.56,680.16,21.89,20.87,104.11,68.63,35.48,0,0,44.37,94.45,46.22,3.31,9.65,14.03,73.22,17.88565586,1135.29,71.4777127,49.9619549,0,0,0,0,.,.,.,.
"9","19_1067","Nodo 3 - Pies inventariados","IFN2",35,1640.64,0,208.25,43.41,.,6.58,18.35,27.02,573.63,8.84,2.68,2.74,0.96,40.69,32.72,991.72,27.92,30.01,16.8,155.21,101.71,53.5,0,23.72,0,0,48.67,139.13,75.38,6.28,18.37,26.69,126.72,.,14.54,.,.,"IFN3","Ppi.ster_me__sim__v01",35,541.13,18.48,20.85,24.84,485.5,8,3.21,3.25,0.45,35.41,32.23,402.64,53.7,15.54,64.5,42.55,21.96,0,0,29.84,58.29,32.15,2.98,8.09,12.31,55.53,4.82697839,134.41,17.3430484,15.0213942,0,0,0,0,.,.,.,.
"10","19_1074","Nodo 3 - Pies inventariados","IFN2",30,633.53,0,156.06,18.49,.,4.31,19.28,24.35,466.44,7.49,2.97,3.02,0.46,33.76,30.75,414.75,53.06,57.02,16.32,57.59,37.73,19.86,0,13.15,0,0,17.87,51.31,29.59,2.79,7.93,11.74,52.06,.,8.02,.,.,"IFN3","Ppi.ster_me__sim__v01",30,717.97,21.46,19.51,24.81,485.86,7.51,3,3.04,0.52,32.82,30.27,479.36,49.7,16.28,66.21,43.38,22.83,0,0,18.15,58.21,34.17,3.24,9.22,13.64,60.27,10.78106303,389.05,33.4389841,29.9619161,.,.,.,.,.,.,.,.
