"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1","16_2992_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"16_2992_2","IFN3","16_2992",2,2,0,127.32,8.95,3.5,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",.,.
"2","16_2992_1","IFN2","16_2992",14.15,33.49,11.27,880.91,0,0,0,0,0,105.21,33.64,0.58,5.34,4.71,7.04,446.6,306.93,139.66,0,188.73,199.87,417.98,208.58,23.48,44.5,83.8,360.37,0,0,0,"Nodo 3 - Pies inventariados",9.29,3.27,24.2,"16_2992_1","IFN3","16_2992",1,1,1,14.15,24.95,11,488.91,0,0,0,0,0,0.69,78.38,44.09,0.6,4.01,4.4,6.82,247.23,166.31,80.92,3.5,0,0,175.39,228.19,110.26,9.31,22.48,36.71,178.77,0,0,0,"Nodo 1 - Pies inventariados",0.75,3
"3","16_2992_2","IFN2","16_2992",31.83,26.71,10.6,560.52,0,0,1.25,0,0,83.93,39.69,0.58,4.27,4.42,6.58,272.14,183.8,88.35,0,0,188.51,253.76,124.55,11.54,26.34,44.46,206.9,0,0,0,"Nodo 3 - Pies inventariados",8.91,3.6,17.8,"16_2992_3","IFN3","16_2992",3,3,2,31.83,17.05,7.5,228.32,0,0,0.69,0,0,0.73,53.56,43.99,0.62,2.8,2.84,4.4,81.61,52.95,28.65,2.6,0,0,0,73.79,38.9,2.82,9.29,12.62,63.63,0,0,0,"Nodo 1 - Pies inventariados",.,0.5
"4","16_2992_3","IFN2","16_2992",5.09,44.4,11.5,1548.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 3 - Pies inventariados",0,0,44.4,"16_2992_4","IFN3","16_2992",4,4,3,5.09,46.75,12.5,1716.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",2.35,1
"5","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_1","IFN3","19_1047",1,1,0,14.15,23.15,8.4,420.91,0,0,4.11,0,0,0.6,72.73,36.29,0.47,3.59,4.45,5.45,164.44,109.34,55.11,2.33,0,0,86.39,151.21,79.67,7.36,18.9,29.76,135.68,0,0,0,"Nodo 1 - Pies inventariados",.,.
"6","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_11","IFN3","19_1047",11,9,0,31.83,16.1,8,203.58,0,0,16.42,0,0,0.65,50.58,49.69,0.44,2.48,4.46,5.36,77.82,50.36,27.45,2.48,0,0,0,69.26,35.86,2.35,8.14,10.75,57.1,0,0,0,"Nodo 1 - Pies inventariados",.,.
"7","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_15","IFN3","19_1047",15,11,0,31.83,15.25,5.6,182.65,0,0,17.68,0,0,0.58,47.91,36.72,0.46,2.39,3.04,3.65,49.47,31.63,17.84,1.57,0,0,0,42.43,25.65,1.98,7.17,9.23,44.04,0,0,0,"Nodo 1 - Pies inventariados",.,.
"8","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_19","IFN3","19_1047",19,14,0,31.83,16.55,6.7,215.12,0,0,15.07,0,0,0.68,51.99,40.48,0.46,2.58,3.65,4.39,69.02,44.57,24.45,2.2,0,0,0,60.92,34.07,2.57,8.67,11.61,56.92,0,0,0,"Nodo 1 - Pies inventariados",.,.
"9","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_26","IFN3","19_1047",26,18,0,14.15,24.1,9.6,456.17,0,0,2.82,0,0,0.65,75.71,39.83,0.46,3.71,5.14,6.31,202.46,135.42,67.04,2.86,0,0,96.65,187.5,94.2,8.35,20.74,33.31,156.61,0,0,0,"Nodo 1 - Pies inventariados",.,.
"10","19_1047_0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19_1047_29","IFN3","19_1047",29,21,0,31.83,16.3,6.2,208.67,0,0,15.76,0,0,0.66,51.21,38.04,0.46,2.55,3.36,4.05,62.13,40.01,22.13,1.98,0,0,0,55.48,31.44,2.45,8.37,11.13,53.39,0,0,0,"Nodo 1 - Pies inventariados",.,.
