"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","ID_escenario","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1","16_2992","Nodo 3 - Pies inventariados","IFN2",10,20,51.07,0,0,3.82,NA,0,30.86,30.36,747.77,10.88,4.6,4.63,0.08,35.83,35.83,71.96,128.65,138.24,27.76,14.98,10.19,4.79,0,0,0,2.67,8.83,13.99,6.92,0.7,1.47,2.6,11.68,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,20,178.4,0,0,3.09,NA,NA,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,127.85,16.85,6.1,4.04,2.06,NA,NA,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,NA,NA,0.80097012,127.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","19_1047","Nodo 3 - Pies inventariados","IFN2",10,35,1015.05,0,0,30.61,NA,0,19.59,26.3,549.99,8.75,2.92,2.97,0.7,42.68,33.26,682.55,35.88,38.56,16.89,118.8,78.21,40.59,0,0,0,0,41.09,107.1,56.43,4.68,13.17,19.59,93.88,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,657.84,0,0,18.72,NA,NA,19.03,25.68,525.83,8.54,2.91,2.96,0.45,39.03,33.25,421.94,45.66,49.06,16.08,66.59,43.73,22.86,NA,NA,0,0,14.2,59.84,32.58,2.81,8.01,11.82,55.22,NA,NA,4.42772865,187.45,15.2922489,12.4180695,0,0,0,NA,NA,NA,NA,NA
"3","19_1051","Nodo 3 - Pies inventariados","IFN2",10,30,537.59,0,0,20.76,NA,0,22.17,26.76,564.99,8.66,3.39,3.42,0.49,36.92,32.35,442.1,49.82,53.54,19.14,79.54,52.79,26.75,0,0,0,0,38.53,72.66,38.65,3.57,9.25,14.45,65.92,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,481,0,0,15.98,NA,NA,20.57,25.56,516.25,8.65,3.18,3.22,0.39,34.34,33.86,349.95,52.7,56.63,17.26,55.06,36.35,18.71,NA,NA,0,0,23.78,49.21,27.52,2.58,6.98,10.62,47.7,NA,NA,3.3719369,106.11,13.1554819,10.829103,0,0,0,NA,NA,NA,NA,NA
"4","19_1052","Nodo 3 - Pies inventariados","IFN2",10,35,1865.02,0,54.19,45.82,NA,0.56,17.69,26.45,551.67,9.32,2.55,2.62,1,43.09,35.24,1061.37,24.84,26.69,18.16,170.88,111.99,58.89,0,1.64,0,0,48.38,153.77,81.42,6.48,19.25,27.69,134.84,NA,0.74,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,1145.92,0,0,25.86,NA,NA,16.95,25.95,536.95,7.71,2.48,2.62,0.62,37.51,29.7,608.51,38.34,41.19,15.17,81.08,52.98,28.11,NA,NA,0,2.51,27.15,71.32,41.24,3.77,10.91,15.89,71.8,NA,NA,4.64611932,201.6,13.758169,12.4377362,0,0,0,NA,NA,NA,NA,NA
"5","19_1062","Nodo 3 - Pies inventariados","IFN2",10,30,1053.44,0,34.85,24.18,NA,0.33,17.1,22.87,411.61,9.23,2.58,2.63,0.57,44.94,40.35,567.21,33.39,35.88,19.44,89.92,58.67,31.25,0,0.92,0,0,24.89,80.67,42.54,3.2,9.99,13.98,69.71,NA,0.34,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,622.47,0,0,17.83,NA,NA,19.09,25.05,493.12,8.4,2.92,2.97,0.43,39.34,33.53,401.32,47.73,51.29,17.47,64.04,42.06,21.98,NA,NA,0,0,18.46,57.37,31.22,2.66,7.62,11.23,52.74,NA,NA,10.1691498,392.58,36.0172099,29.3477763,0,0,0,NA,NA,NA,NA,NA
"6","19_1064","Nodo 3 - Pies inventariados","IFN2",10,35,1041.96,0,26.91,35.74,NA,0.25,20.9,26.43,550.39,9.75,3.05,3.11,0.79,43.95,36.89,778.12,31.78,34.15,18.33,154.69,102.68,52.01,0,0.76,0,0,74.21,141.56,71.43,5.89,15.72,24.13,117.16,NA,0.3,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,495.15,0,0,16.2,NA,NA,20.41,26.88,571.22,10.5,3.52,3.57,0.37,45.85,39.07,355.76,42.8,45.99,18.31,72.77,48.73,24.04,NA,NA,0,2.27,43.14,67.53,33.25,2.89,7.1,11.44,54.68,NA,NA,8.2724509,318.33,35.5788436,NA,0,0,0,NA,NA,NA,NA,NA
"7","19_1065","Nodo 3 - Pies inventariados","IFN2",10,30,506.61,0,29.14,12.38,NA,0.35,17.64,21.2,354.93,9.78,2.72,2.75,0.3,52.44,46.11,287.12,45.44,48.82,19.44,54.5,35.71,18.79,0,1.11,0,0,17.16,49.59,24.29,1.65,5.14,7.21,38.28,NA,0.4,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1641.06,0,0,27.32,NA,NA,14.56,25.31,505.31,11.28,2.38,2.53,0.52,53.24,44.56,680.16,21.89,23.52,20.87,104.11,68.63,35.48,NA,NA,0,0,44.37,94.45,46.22,3.31,9.65,14.03,73.22,NA,NA,17.88565586,1135.29,71.4777127,NA,0,0,0,NA,NA,NA,NA,NA
"8","19_1067","Nodo 3 - Pies inventariados","IFN2",10,35,1458.63,0,26.23,36.63,NA,0.3,17.88,24.8,485.47,8.54,2.65,2.7,0.83,41.43,34.43,845,30.66,32.95,16.8,129.75,84.77,44.98,0,0.93,0,0,35.42,115.95,62.86,5.07,15.33,21.85,105.1,NA,0.41,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,541.13,0,0,18.48,NA,NA,20.85,24.84,485.5,8,3.21,3.25,0.45,35.41,32.23,402.64,53.7,57.71,15.54,64.5,42.55,21.96,NA,NA,0,0,29.84,58.29,32.15,2.98,8.09,12.31,55.53,NA,NA,4.82697839,134.41,17.3430484,15.0213942,0,0,0,NA,NA,NA,NA,NA
"9","19_1074","Nodo 3 - Pies inventariados","IFN2",10,30,508.12,0,30.66,14.17,NA,0.3,18.84,23.49,434.77,7.02,2.93,2.98,0.36,34.31,29.88,320.5,63.22,67.93,16.32,43.78,28.62,15.15,0,0.7,0,0,14.36,38.91,22.48,2.09,6.04,8.84,39.44,NA,0.29,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,717.97,0,0,21.46,NA,NA,19.51,24.81,485.86,7.51,3,3.04,0.52,32.82,30.27,479.36,49.7,53.41,16.28,66.21,43.38,22.83,NA,NA,0,0,18.15,58.21,34.17,3.24,9.22,13.64,60.27,NA,NA,10.78106303,389.05,33.4389841,29.9619161,NA,NA,NA,NA,NA,NA,NA,NA
"10","19_2185","Nodo 3 - Pies inventariados","IFN2",10,21,542.64,0,33.35,10.04,NA,0.39,15.35,15.59,190.88,7.12,2.45,2.45,0.26,45.1,45.65,245.18,60.33,64.83,21.05,33.5,21.54,11.96,0,1.04,0,0,0,29.31,16.11,1.1,3.95,5.11,26.27,NA,0.36,"Nodo 1 - Pies inventariados",25,"IFN3",2003,20,222.82,0,0,2.83,NA,NA,12.72,13.26,138.18,6.78,2.1,2.1,0.08,53.56,51.13,74.16,98.8,106.17,19.52,9.41,5.97,3.44,NA,NA,0,0,0,8.18,4.4,0.25,1.05,1.24,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
