"","PLOT_ID","Hoja_arboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez_(hq/dq)","Esbeltez_(h100/d100)","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","W_descorchado","V_descorchado","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"1","16_2992","Nodo 3 - Pies inventariados","IFN2",20,50.84,0.23,0,3.81,0.02,0,30.87,15.44,380.52,5.53,4.6,4.63,0.08,35.82,35.82,71.68,253.6,272.51,27.76,14.91,10.15,4.77,0.03,0,0,2.67,8.79,13.93,6.88,0.7,1.46,2.59,11.63,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"2","16_2992","Nodo 3 - Pies inventariados","IFN2",20,50.84,0.23,0,3.81,0.02,0,30.87,15.44,380.52,5.53,4.6,4.63,0.08,35.82,35.82,71.68,253.6,272.51,27.76,14.91,10.15,4.77,0.03,0,0,2.67,8.79,13.93,6.88,0.7,1.46,2.59,11.63,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"3","19_1047","Nodo 3 - Pies inventariados","IFN2",35,1009.95,5.1,0,30.49,0.1,0,19.61,26.3,550,8.75,2.92,2.97,0.7,42.65,33.26,679.77,35.97,38.66,16.89,118.35,77.91,40.44,0.25,0,0,0,41.01,106.69,56.21,4.67,13.13,19.53,93.53,0.19,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,657.84,18.72,19.03,25.68,525.83,8.54,2.91,2.96,0.45,39.03,33.25,421.94,45.66,16.08,66.59,43.73,22.86,0,0,14.2,59.84,32.58,2.81,8.01,11.82,55.22,4.42772865,187.45,15.2922489,12.4180695,0,0,0,0,.,.,.,.
"4","19_1051","Nodo 3 - Pies inventariados","IFN2",30,535.53,2.06,0,20.69,0.05,0,22.18,26.76,564.98,8.66,3.39,3.42,0.49,36.92,32.35,440.62,49.92,53.64,19.14,79.29,52.63,26.67,0.14,0,0,0,38.43,72.43,38.53,3.55,9.22,14.41,65.72,0.11,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,481,15.98,20.57,25.56,516.25,8.65,3.18,3.22,0.39,34.34,33.86,349.95,52.7,17.26,55.06,36.35,18.71,0,0,23.78,49.21,27.52,2.58,6.98,10.62,47.7,3.3719369,106.11,13.1554819,10.829103,0,0,0,0,.,.,.,.
"5","19_1052","Nodo 3 - Pies inventariados","IFN2",35,1795.01,15.83,0,44.9,0.27,0,17.85,26.45,551.91,9.32,2.58,2.64,0.99,42.91,35.25,1036.63,25.31,27.2,18.16,168.02,110.18,57.84,0.44,0,0,0,48.35,151.27,80.05,6.4,18.91,27.29,132.64,0.36,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,1145.92,25.86,16.95,25.95,536.95,7.71,2.48,2.62,0.62,37.51,29.7,608.51,38.34,15.17,81.08,52.98,28.11,0,2.51,27.15,71.32,41.24,3.77,10.91,15.89,71.8,4.64611932,201.6,13.758169,12.4377362,0,0,0,0,.,.,.,.
"6","19_1062","Nodo 3 - Pies inventariados","IFN2",30,1012.82,5.77,0,23.61,0.08,0,17.23,22.88,411.99,9.23,2.6,2.65,0.56,44.77,40.35,552.27,34.03,36.57,19.44,88.09,57.51,30.58,0.15,0,0,0,24.91,79.12,41.67,3.15,9.78,13.72,68.32,0.12,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,622.47,17.83,19.09,25.05,493.12,8.4,2.92,2.97,0.43,39.34,33.53,401.32,47.73,17.47,64.04,42.06,21.98,0,0,18.46,57.37,31.22,2.66,7.62,11.23,52.74,10.1691498,392.58,36.0172099,29.3477763,0,0,0,0,.,.,.,.
"7","19_1064","Nodo 3 - Pies inventariados","IFN2",35,1007.84,7.22,0,35.23,0.18,0,21.1,26.43,550.58,9.75,3.09,3.14,0.78,43.73,36.89,764.44,32.3,34.71,18.33,152.89,101.53,51.36,0.36,0,0,0,74.06,139.99,70.59,5.84,15.53,23.9,115.85,0.27,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,495.15,16.2,20.41,26.88,571.22,10.5,3.52,3.57,0.37,45.85,39.07,355.76,42.8,18.31,72.77,48.73,24.04,0,2.27,43.14,67.53,33.25,2.89,7.1,11.44,54.68,8.2724509,318.33,35.5788436,26.6098205,0,0,0,0,.,.,.,.
"8","19_1065","Nodo 3 - Pies inventariados","IFN2",30,762.79,1.16,0,13.61,0.02,0,15.07,21.13,352.46,9.73,2.73,2.75,0.28,52.97,46.04,334.5,37.22,39.99,19.44,51.67,33.86,17.81,0.04,0,0,0,16.99,47.11,23.04,1.57,4.87,6.85,36.33,0.03,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1641.06,27.32,14.56,25.31,505.31,11.28,2.38,2.53,0.52,53.24,44.56,680.16,21.89,20.87,104.11,68.63,35.48,0,0,44.37,94.45,46.22,3.31,9.65,14.03,73.22,17.88565586,1135.29,71.4777127,49.9619549,0,0,0,0,.,.,.,.
"9","19_1067","Nodo 3 - Pies inventariados","IFN2",35,1424.22,8.17,0,36.08,0.14,0,17.96,24.81,485.68,8.54,2.66,2.71,0.82,41.27,34.43,830.91,31.02,33.33,16.8,127.87,83.57,44.31,0.28,0,0,0,37.26,114.27,61.97,5.01,15.12,21.59,103.69,0.23,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,541.13,18.48,20.85,24.84,485.5,8,3.21,3.25,0.45,35.41,32.23,402.64,53.7,15.54,64.5,42.55,21.96,0,0,29.84,58.29,32.15,2.98,8.09,12.31,55.53,4.82697839,134.41,17.3430484,15.0213942,0,0,0,0,.,.,.,.
"10","19_1074","Nodo 3 - Pies inventariados","IFN2",30,475.04,2.42,0,13.68,0.04,0,19.15,23.5,435.2,7.02,2.98,3.04,0.34,33.9,29.88,307.73,65.33,70.21,16.32,42.43,27.77,14.66,0.06,0,0,0,14.36,37.74,21.81,2.04,5.85,8.62,38.32,0.06,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,717.97,21.46,19.51,24.81,485.86,7.51,3,3.04,0.52,32.82,30.27,479.36,49.7,16.28,66.21,43.38,22.83,0,0,18.15,58.21,34.17,3.24,9.22,13.64,60.27,10.78106303,389.05,33.4389841,29.9619161,.,.,.,.,.,.,.,.
