"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","ID_sp1.x","ID_sp2.x","Precipitacion_Media_Anual.x","Temperatura_Media_Anual.x","Indice_Martonne.x","Indice_Martonne_1.x","Indice_Martonne_2.x","Indice_Martonne_3.x","Indice_Martonne_4.x","Anyo.x","T_IFN2","Proporcion_sp1.x","Proporcion_sp2.x","N_IFN2","N_sp1.x","N_sp2.x","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_sp1.x","G_sp2.x","g_max_sp1.x","g_max_sp2.x","g_min_sp1.x","g_min_sp2.x","g_media_sp1.x","g_media_sp2.x","G_muerta_IFN2","G_incorporada_IFN2","dbh_max_sp1.x","dbh_max_sp2.x","dbh_min_sp1.x","dbh_min_sp2.x","dbh_medio_sp1.x","dbh_medio_sp2.x","dg_IFN2","dg_sp1.x","dg_sp2.x","Do_IFN2","Do_sp1.x","Do_sp2.x","Seccion_dominante_IFN2","Seccion_Dominante_sp1.x","Seccion_Dominante_sp2.x","h_max_sp1.x","h_max_sp2.x","h_min_sp1.x","h_min_sp2.x","h_media_sp1.x","h_media_sp2.x","Ho_IFN2","Ho_sp1.x","Ho_sp2.x","d_copa_IFN2","d_medio_copa_sp1.x","d_medio_copa_sp2.x","Do_copa_IFN2","Do_copa_sp1.x","Do_copa_sp2.x","FCC_IFN2","FCC_sp1.x","FCC_sp2.x","Esbeltez_(hq/dq).x","Esbeltez_(h100/d100).x","SDI_IFN2","SDI_sp1.x","SDI_sp2.x","SDImax.x","SDImax_sp1.x","SDImax_sp2.x","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sp1.x","Bole_V_sp1.x","Bark_V_sp1.x","V_sp2.x","Bole_V_sp2.x","Bark_V_sp2.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","V_desenrollo_sp1.x","V_chapa_sp1.x","V_sierra_gruesa_sp1.x","V_sierra_sp1.x","V_sierra_canter_sp1.x","V_postes_sp1.x","V_estacas_sp1.x","V_trituracion_sp1.x","V_desenrollo_sp2.x","V_chapa_sp2.x","V_sierra_gruesa_sp2.x","V_sierra_sp2.x","V_sierra_canter_sp2.x","V_postes_sp2.x","V_estacas_sp2.x","V_trituracion_sp2.x","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","WSW_sp1.x","WSB_sp1.x","WSWB_sp1.x","WTHICKB_sp1.x","WSTB_sp1.x","WB2_7_sp1.x","WB_2_T_sp1.x","WTHINB_sp1.x","WB05_sp1.x","WB05_7_sp1.x","WB0_2_sp1.x","WDB_sp1.x","WL_sp1.x","WTBL_sp1.x","WBL0_7_sp1.x","WR_sp1.x","WT_sp1.x","WSW_sp2.x","WSB_sp2.x","WSWB_sp2.x","WTHICKB_sp2.x","WSTB_sp2.x","WB2_7_sp2.x","WB_2_T_sp2.x","WTHINB_sp2.x","WB05_sp2.x","WB05_7_sp2.x","WB0_2_sp2.x","WDB_sp2.x","WL_sp2.x","WTBL_sp2.x","WBL0_7_sp2.x","WR_sp2.x","WT_sp2.x","W_descorchado.x","V_descorchado.x","ID_escenario","Hoja_arboles.y","INVENTORY_ID_IFN3","ID_sp1.y","ID_sp2.y","Precipitacion_Media_Anual.y","Temperatura_Media_Anual.y","Indice_Martonne.y","Indice_Martonne_1.y","Indice_Martonne_2.y","Indice_Martonne_3.y","Indice_Martonne_4.y","Anyo.y","T_IFN3","Proporcion_sp1.y","Proporcion_sp2.y","N_IFN3","N_sp1.y","N_sp2.y","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_sp1.y","G_sp2.y","g_max_sp1.y","g_max_sp2.y","g_min_sp1.y","g_min_sp2.y","g_media_sp1.y","g_media_sp2.y","G_muerta_IFN3.x","G_incorporada_IFN3.x","dbh_max_sp1.y","dbh_max_sp2.y","dbh_min_sp1.y","dbh_min_sp2.y","dbh_medio_sp1.y","dbh_medio_sp2.y","dg_IFN3","dg_sp1.y","dg_sp2.y","Do_IFN3","Do_sp1.y","Do_sp2.y","Seccion_dominante_IFN3","Seccion_Dominante_sp1.y","Seccion_Dominante_sp2.y","h_max_sp1.y","h_max_sp2.y","h_min_sp1.y","h_min_sp2.y","h_media_sp1.y","h_media_sp2.y","Ho_IFN3","Ho_sp1.y","Ho_sp2.y","d_copa_IFN3","d_medio_copa_sp1.y","d_medio_copa_sp2.y","Do_copa_IFN3","Do_copa_sp1.y","Do_copa_sp2.y","FCC_IFN3","FCC_sp1.y","FCC_sp2.y","Esbeltez_(hq/dq).y","Esbeltez_(h100/d100).y","SDI_IFN3","SDI_sp1.y","SDI_sp2.y","SDImax.y","SDImax_sp1.y","SDImax_sp2.y","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_sp1.y","Bole_V_sp1.y","Bark_V_sp1.y","V_sp2.y","Bole_V_sp2.y","Bark_V_sp2.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","V_desenrollo_sp1.y","V_chapa_sp1.y","V_sierra_gruesa_sp1.y","V_sierra_sp1.y","V_sierra_canter_sp1.y","V_postes_sp1.y","V_estacas_sp1.y","V_trituracion_sp1.y","V_desenrollo_sp2.y","V_chapa_sp2.y","V_sierra_gruesa_sp2.y","V_sierra_sp2.y","V_sierra_canter_sp2.y","V_postes_sp2.y","V_estacas_sp2.y","V_trituracion_sp2.y","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","WSW_sp1.y","WSB_sp1.y","WSWB_sp1.y","WTHICKB_sp1.y","WSTB_sp1.y","WB2_7_sp1.y","WB_2_T_sp1.y","WTHINB_sp1.y","WB05_sp1.y","WB05_7_sp1.y","WB0_2_sp1.y","WDB_sp1.y","WL_sp1.y","WTBL_sp1.y","WBL0_7_sp1.y","WR_sp1.y","WT_sp1.y","WSW_sp2.y","WSB_sp2.y","WSWB_sp2.y","WTHICKB_sp2.y","WSTB_sp2.y","WB2_7_sp2.y","WB_2_T_sp2.y","WTHINB_sp2.y","WB05_sp2.y","WB05_7_sp2.y","WB0_2_sp2.y","WDB_sp2.y","WL_sp2.y","WTBL_sp2.y","WBL0_7_sp2.y","WR_sp2.y","WT_sp2.y","W_descorchado.y","V_descorchado.y","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1","16_2992","Nodo 3 - Pies inventariados","IFN2",NA,NA,397.3,NA,17.27,NA,NA,NA,NA,NA,20,NA,NA,51.07,NA,NA,0,0,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,30.86,NA,NA,30.36,NA,NA,747.77,NA,NA,NA,NA,NA,NA,NA,NA,10.88,NA,NA,4.6,NA,NA,4.63,NA,NA,0.08,NA,NA,35.83,35.83,76.33,NA,NA,980.07,NA,NA,128.65,138.24,27.76,14.98,10.19,4.79,0,0,NA,NA,NA,NA,NA,NA,0,2.67,8.83,13.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,0.7,1.47,2.6,11.68,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,178.4,NA,NA,0,0,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.86,NA,NA,15.72,NA,NA,260.05,NA,NA,NA,NA,NA,NA,NA,NA,6.29,NA,NA,3.17,NA,NA,3.22,NA,NA,0.04,NA,NA,39.75,40.04,76.44,NA,NA,NA,NA,NA,118.98,127.85,16.85,6.1,4.04,2.06,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.48,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,0.22,0.61,0.92,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80097012,127.32,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","19_1047","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,35,NA,NA,1015.05,NA,NA,0,0,30.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.59,NA,NA,26.3,NA,NA,549.99,NA,NA,NA,NA,NA,NA,NA,NA,8.75,NA,NA,2.92,NA,NA,2.97,NA,NA,0.7,NA,NA,42.68,33.26,640.35,NA,NA,869.38,NA,NA,35.88,38.56,16.89,118.8,78.21,40.59,0,0,NA,NA,NA,NA,NA,NA,0,0,41.09,107.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.43,4.68,13.17,19.59,93.88,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,657.84,NA,NA,0,0,18.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.03,NA,NA,25.68,NA,NA,525.83,NA,NA,NA,NA,NA,NA,NA,NA,8.54,NA,NA,2.91,NA,NA,2.96,NA,NA,0.45,NA,NA,39.03,33.25,421.94,NA,NA,NA,NA,NA,45.66,49.06,16.08,66.59,43.73,22.86,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14.2,59.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.58,2.81,8.01,11.82,55.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42772865,187.45,15.2922489,12.4180695,0,0,0,0,NA,NA,NA,NA
"3","19_1051","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,30,NA,NA,537.59,NA,NA,0,0,20.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,22.17,NA,NA,26.76,NA,NA,564.99,NA,NA,NA,NA,NA,NA,NA,NA,8.66,NA,NA,3.39,NA,NA,3.42,NA,NA,0.49,NA,NA,36.92,32.35,428.41,NA,NA,869.38,NA,NA,49.82,53.54,19.14,79.54,52.79,26.75,0,0,NA,NA,NA,NA,NA,NA,0,0,38.53,72.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.65,3.57,9.25,14.45,65.92,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,481,NA,NA,0,0,15.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.57,NA,NA,25.56,NA,NA,516.25,NA,NA,NA,NA,NA,NA,NA,NA,8.65,NA,NA,3.18,NA,NA,3.22,NA,NA,0.39,NA,NA,34.34,33.86,349.95,NA,NA,NA,NA,NA,52.7,56.63,17.26,55.06,36.35,18.71,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23.78,49.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52,2.58,6.98,10.62,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3719369,106.11,13.1554819,10.829103,0,0,0,0,NA,NA,NA,NA
"4","19_1052","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,35,NA,NA,1810.83,NA,NA,0,0,45.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.82,NA,NA,26.45,NA,NA,551.86,NA,NA,NA,NA,NA,NA,NA,NA,9.32,NA,NA,2.57,NA,NA,2.64,NA,NA,0.99,NA,NA,42.93,35.25,954.52,NA,NA,869.38,NA,NA,25.2,27.08,18.16,168.84,110.7,58.14,0,0,NA,NA,NA,NA,NA,NA,0,0,48.39,151.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.44,6.42,19,27.41,133.28,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,1145.92,NA,NA,0,0,25.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.95,NA,NA,25.95,NA,NA,536.95,NA,NA,NA,NA,NA,NA,NA,NA,7.71,NA,NA,2.48,NA,NA,2.62,NA,NA,0.62,NA,NA,37.51,29.7,608.51,NA,NA,NA,NA,NA,38.34,41.19,15.17,81.08,52.98,28.11,NA,NA,NA,NA,NA,NA,NA,NA,0,2.51,27.15,71.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.24,3.77,10.91,15.89,71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64611932,201.6,13.758169,12.4377362,0,0,0,0,NA,NA,NA,NA
"5","19_1062","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,30,NA,NA,1018.59,NA,NA,0,0,23.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.21,NA,NA,22.88,NA,NA,411.96,NA,NA,NA,NA,NA,NA,NA,NA,9.23,NA,NA,2.6,NA,NA,2.65,NA,NA,0.56,NA,NA,44.79,40.35,502.98,NA,NA,869.38,NA,NA,33.94,36.47,19.44,88.41,57.71,30.7,0,0,NA,NA,NA,NA,NA,NA,0,0,24.92,79.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.82,3.16,9.81,13.77,68.56,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,622.47,NA,NA,0,0,17.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.09,NA,NA,25.05,NA,NA,493.12,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,2.92,NA,NA,2.97,NA,NA,0.43,NA,NA,39.34,33.53,401.32,NA,NA,NA,NA,NA,47.73,51.29,17.47,64.04,42.06,21.98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.46,57.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.22,2.66,7.62,11.23,52.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1691498,392.58,36.0172099,29.3477763,0,0,0,0,NA,NA,NA,NA
"6","19_1064","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,35,NA,NA,1015.05,NA,NA,0,0,35.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.07,NA,NA,26.43,NA,NA,550.59,NA,NA,NA,NA,NA,NA,NA,NA,9.75,NA,NA,3.08,NA,NA,3.14,NA,NA,0.78,NA,NA,43.76,36.89,734.59,NA,NA,869.38,NA,NA,32.19,34.59,18.33,153.52,101.94,51.58,0,0,NA,NA,NA,NA,NA,NA,0,0,74.25,140.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.89,5.86,15.59,23.99,116.32,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,495.15,NA,NA,0,0,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.41,NA,NA,26.88,NA,NA,571.22,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,3.52,NA,NA,3.57,NA,NA,0.37,NA,NA,45.85,39.07,355.76,NA,NA,NA,NA,NA,42.8,45.99,18.31,72.77,48.73,24.04,NA,NA,NA,NA,NA,NA,NA,NA,0,2.27,43.14,67.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.25,2.89,7.1,11.44,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2724509,318.33,35.5788436,26.6098205,0,0,0,0,NA,NA,NA,NA
"7","19_1065","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,30,NA,NA,763.94,NA,NA,0,0,13.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15.07,NA,NA,21.13,NA,NA,352.46,NA,NA,NA,NA,NA,NA,NA,NA,9.73,NA,NA,2.73,NA,NA,2.75,NA,NA,0.28,NA,NA,52.97,46.04,293.46,NA,NA,869.38,NA,NA,37.19,39.96,19.44,51.76,33.92,17.84,0,0,NA,NA,NA,NA,NA,NA,0,0,17.01,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08,1.57,4.88,6.86,36.39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,1641.06,NA,NA,0,0,27.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,NA,NA,25.31,NA,NA,505.31,NA,NA,NA,NA,NA,NA,NA,NA,11.28,NA,NA,2.38,NA,NA,2.53,NA,NA,0.52,NA,NA,53.24,44.56,680.16,NA,NA,NA,NA,NA,21.89,23.52,20.87,104.11,68.63,35.48,NA,NA,NA,NA,NA,NA,NA,NA,0,0,44.37,94.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.22,3.31,9.65,14.03,73.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.88565586,1135.29,71.4777127,49.9619549,0,0,0,0,NA,NA,NA,NA
"8","19_1067","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,35,NA,NA,1432.39,NA,NA,0,0,36.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.95,NA,NA,24.81,NA,NA,485.68,NA,NA,NA,NA,NA,NA,NA,NA,8.54,NA,NA,2.66,NA,NA,2.71,NA,NA,0.82,NA,NA,41.29,34.43,765.24,NA,NA,869.38,NA,NA,30.93,33.24,16.8,128.38,83.9,44.49,0,0,NA,NA,NA,NA,NA,NA,0,0,37.31,114.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.22,5.03,15.18,21.67,104.09,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,541.13,NA,NA,0,0,18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.85,NA,NA,24.84,NA,NA,485.5,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3.21,NA,NA,3.25,NA,NA,0.45,NA,NA,35.41,32.23,402.64,NA,NA,NA,NA,NA,53.7,57.71,15.54,64.5,42.55,21.96,NA,NA,NA,NA,NA,NA,NA,NA,0,0,29.84,58.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.15,2.98,8.09,12.31,55.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82697839,134.41,17.3430484,15.0213942,0,0,0,0,NA,NA,NA,NA
"9","19_1074","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,30,NA,NA,477.46,NA,NA,0,0,13.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.13,NA,NA,23.5,NA,NA,435.21,NA,NA,NA,NA,NA,NA,NA,NA,7.02,NA,NA,2.98,NA,NA,3.03,NA,NA,0.35,NA,NA,33.92,29.88,287.96,NA,NA,869.38,NA,NA,65.17,70.02,16.32,42.56,27.86,14.71,0,0,NA,NA,NA,NA,NA,NA,0,0,14.38,37.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.87,2.05,5.87,8.64,38.44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,717.97,NA,NA,0,0,21.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.51,NA,NA,24.81,NA,NA,485.86,NA,NA,NA,NA,NA,NA,NA,NA,7.51,NA,NA,3,NA,NA,3.04,NA,NA,0.52,NA,NA,32.82,30.27,479.36,NA,NA,NA,NA,NA,49.7,53.41,16.28,66.21,43.38,22.83,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.15,58.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.17,3.24,9.22,13.64,60.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.78106303,389.05,33.4389841,29.9619161,NA,NA,NA,NA,NA,NA,NA,NA
"10","19_2185","Nodo 3 - Pies inventariados","IFN2",NA,NA,284.7,NA,11.96,NA,NA,NA,NA,NA,21,NA,NA,509.3,NA,NA,0,0,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15.38,NA,NA,15.62,NA,NA,191.52,NA,NA,NA,NA,NA,NA,NA,NA,7.13,NA,NA,2.46,NA,NA,2.46,NA,NA,0.24,NA,NA,45.15,45.69,203.18,NA,NA,869.38,NA,NA,62.11,66.74,21.05,31.64,20.35,11.29,0,0,NA,NA,NA,NA,NA,NA,0,0,0,27.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,1.04,3.73,4.82,24.78,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nodo 1 - Pies inventariados",25,"IFN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,222.82,NA,NA,0,0,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.72,NA,NA,13.26,NA,NA,138.18,NA,NA,NA,NA,NA,NA,NA,NA,6.78,NA,NA,2.1,NA,NA,2.1,NA,NA,0.08,NA,NA,53.56,51.13,74.16,NA,NA,NA,NA,NA,98.8,106.17,19.52,9.41,5.97,3.44,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0.25,1.05,1.24,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
