"","PLOT_ID","INVENTORY_ID_IFN2","Nombre_modelo.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","SDI_IFN2","Hart_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","INVENTORY_ID_IFN3","Nombre_modelo.y","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"1","16_2992","IFN2","Ppi.ster_me__sim__v01",20,50.83,0.24,0,3.34,0.02,0,28.91,14.36,333.76,5.23,4.26,4.29,0.07,64.42,268.18,27.76,11.93,8.06,3.87,0.03,0,0,2.29,8.04,11.03,5.55,0.54,1.2,2.05,9.34,0.02,0,"IFN3","Ppi.ster_me__sim__v01",20,178.4,3.09,14.86,15.72,260.05,6.29,3.17,3.22,0.04,39.75,40.04,76.44,118.98,16.85,6.1,4.04,2.06,0,0,2.48,5.58,2.8,0.22,0.61,0.92,4.55,0.80097012,127.32,0,0,.,.,.,.,.,.,.,.
"2","19_1047","IFN2","Ppi.ster_me__sim__v01",35,1197.04,5.8,187.78,30.19,0.11,6.16,17.92,27.57,600.4,7.88,2.65,2.73,0.7,695.97,36.68,16.89,107.98,70.61,37.37,0.26,21.36,0,0,20.97,96.26,52.3,4.36,12.74,18.5,87.9,0.2,15.83,"IFN3","Ppi.ster_me__sim__v01",35,657.84,18.72,19.03,25.68,525.83,8.54,2.91,2.96,0.45,39.03,33.25,421.94,45.66,16.08,66.59,43.73,22.86,0,0,14.2,59.84,32.58,2.81,8.01,11.82,55.22,4.42772865,187.45,15.2922489,12.4180695,0,0,0,0,.,.,.,.
"3","19_1051","IFN2","Ppi.ster_me__sim__v01",30,672.51,2.33,137.25,21.96,0.06,5.08,20.39,26.36,547.5,8.37,3.11,3.15,0.52,482.54,46.06,19.14,78.3,51.61,26.69,0.14,18.07,0,0,28.03,70.36,38.63,3.49,9.56,14.46,66.15,0.12,12.62,"IFN3","Ppi.ster_me__sim__v01",30,481,15.98,20.57,25.56,516.25,8.65,3.18,3.22,0.39,34.34,33.86,349.95,52.7,17.26,55.06,36.35,18.71,0,0,23.78,49.21,27.52,2.58,6.98,10.62,47.7,3.3719369,106.11,13.1554819,10.829103,0,0,0,0,.,.,.,.
"4","19_1052","IFN2","Ppi.ster_me__sim__v01",35,2041.39,17.52,248.07,41.58,0.28,7.07,16.1,26.42,549.44,9.49,2.31,2.41,0.93,997.23,23.33,18.16,147.46,96.13,51.33,0.42,26.92,0,0,36.37,130.7,70.85,5.52,17.11,23.98,117.46,0.35,18.59,"IFN3","Ppi.ster_me__sim__v01",35,1145.92,25.86,16.95,25.95,536.95,7.71,2.48,2.62,0.62,37.51,29.7,608.51,38.34,15.17,81.08,52.98,28.11,0,2.51,27.15,71.32,41.24,3.77,10.91,15.89,71.8,4.64611932,201.6,13.758169,12.4377362,0,0,0,0,.,.,.,.
"5","19_1062","IFN2","Ppi.ster_me__sim__v01",30,1203.83,6.27,191.51,21.25,0.08,3.17,14.99,20.76,339.15,8.69,2.27,2.33,0.51,523.35,33.15,19.44,74.03,47.81,26.21,0.14,10.53,0,0,10.42,65.24,35.19,2.47,8.45,11.19,57.3,0.11,6.13,"IFN3","Ppi.ster_me__sim__v01",30,622.47,17.83,19.09,25.05,493.12,8.4,2.92,2.97,0.43,39.34,33.53,401.32,47.73,17.47,64.04,42.06,21.98,0,0,18.46,57.37,31.22,2.66,7.62,11.23,52.74,10.1691498,392.58,36.0172099,29.3477763,0,0,0,0,.,.,.,.
"6","19_1064","IFN2","Ppi.ster_me__sim__v01",35,1206.46,8.25,199.65,34.08,0.19,5.82,18.96,25.83,525.13,9.44,2.77,2.84,0.77,769.13,30.48,18.33,138.65,91.37,47.28,0.35,23.52,0,0,55.85,125.82,64.65,5.14,14.61,21.61,106,0.27,15.48,"IFN3","Ppi.ster_me__sim__v01",35,495.15,16.2,20.41,26.88,571.22,10.5,3.52,3.57,0.37,45.85,39.07,355.76,42.8,18.31,72.77,48.73,24.04,0,2.27,43.14,67.53,33.25,2.89,7.1,11.44,54.68,8.2724509,318.33,35.5788436,26.6098205,0,0,0,0,.,.,.,.
"7","19_1065","IFN2","Ppi.ster_me__sim__v01",30,643.42,1.78,167.73,12.27,0.03,2.94,15.58,19.4,297.27,8.97,2.41,2.44,0.3,297.95,43.97,19.44,51.69,33.55,18.15,0.07,11.55,0,0,3.45,45.99,22.98,1.44,4.9,6.51,35.83,0.04,5.76,"IFN3","Ppi.ster_me__sim__v01",30,1641.06,27.32,14.56,25.31,505.31,11.28,2.38,2.53,0.52,53.24,44.56,680.16,21.89,20.87,104.11,68.63,35.48,0,0,44.37,94.45,46.22,3.31,9.65,14.03,73.22,17.88565586,1135.29,71.4777127,49.9619549,0,0,0,0,.,.,.,.
"8","19_1067","IFN2","Ppi.ster_me__sim__v01",35,1684.39,9.19,261.19,34.84,0.15,7.08,16.23,24.84,484.61,8.08,2.4,2.47,0.8,833.12,30.16,16.8,115.17,74.76,40.41,0.28,24.1,0,0,17.19,101.71,56.59,4.5,14.26,19.73,95.08,0.22,17.31,"IFN3","Ppi.ster_me__sim__v01",35,541.13,18.48,20.85,24.84,485.5,8,3.21,3.25,0.45,35.41,32.23,402.64,53.7,15.54,64.5,42.55,21.96,0,0,29.84,58.29,32.15,2.98,8.09,12.31,55.53,4.82697839,134.41,17.3430484,15.0213942,0,0,0,0,.,.,.,.
"9","19_1074","IFN2","Ppi.ster_me__sim__v01",30,684.6,2.8,209.93,15.67,0.05,4.82,17.07,22.62,402.22,7.61,2.63,2.71,0.39,367.83,50.25,16.32,45.48,29.53,15.94,0.06,14.68,0,0,7.05,39.73,23.57,2.11,6.5,9.16,41.34,0.05,10.15,"IFN3","Ppi.ster_me__sim__v01",30,717.97,21.46,19.51,24.81,485.86,7.51,3,3.04,0.52,32.82,30.27,479.36,49.7,16.28,66.21,43.38,22.83,0,0,18.15,58.21,34.17,3.24,9.22,13.64,60.27,10.78106303,389.05,33.4389841,29.9619161,.,.,.,.,.,.,.,.
"10","19_2185","IFN2","Ppi.ster_me__sim__v01",21,679.38,1.29,171.37,9.07,0.01,2.14,13.03,13.27,138.24,6.63,2.09,2.09,0.23,235.16,57.88,21.05,28.51,18.09,10.42,0.03,6.49,0,0,0,24.96,13.65,0.82,3.39,4.04,21.9,0.02,3.05,"IFN3","Ppi.ster_me__sim__v01",20,222.82,2.83,12.72,13.26,138.18,6.78,2.1,2.1,0.08,53.56,51.13,74.16,98.8,19.52,9.41,5.97,3.44,0,0,0,8.18,4.4,0.25,1.05,1.24,6.94,.,.,.,.,.,.,.,.,.,.,.,.
